#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING POLAR PARTICLES DISTRIBUTION]
# Units are particles/(sr history)
#
# Polar angle minimum, maximum, polar bins:
#  0.00000E+00  1.80000E+02    45
#
# theta (deg) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   2.00000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   6.00000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   1.00000E+01  1.14183E-07  2.284E-07  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   1.40000E+01  0.00000E+00  0.000E+00  8.19592E-08  1.639E-07  0.00000E+00  0.000E+00
   1.80000E+01  0.00000E+00  0.000E+00  6.41639E-08  1.283E-07  0.00000E+00  0.000E+00
   2.20000E+01  5.29295E-08  1.059E-07  1.05859E-07  1.497E-07  0.00000E+00  0.000E+00
   2.60000E+01  0.00000E+00  0.000E+00  4.52305E-08  9.046E-08  0.00000E+00  0.000E+00
   3.00000E+01  7.93109E-08  1.122E-07  7.93109E-08  1.122E-07  0.00000E+00  0.000E+00
   3.40000E+01  1.06373E-07  1.228E-07  1.06373E-07  1.228E-07  0.00000E+00  0.000E+00
   3.80000E+01  2.57645E-07  1.822E-07  9.66167E-08  1.116E-07  0.00000E+00  0.000E+00
   4.20000E+01  3.55585E-07  2.053E-07  5.92642E-08  8.381E-08  0.00000E+00  0.000E+00
   4.60000E+01  5.78840E-07  2.526E-07  8.26914E-08  9.548E-08  0.00000E+00  0.000E+00
   5.00000E+01  5.95315E-07  2.483E-07  2.07066E-07  1.464E-07  0.00000E+00  0.000E+00
   5.40000E+01  8.33287E-07  2.858E-07  9.04361E-06  9.415E-07  4.90169E-08  6.932E-08
   5.80000E+01  1.63663E-06  3.912E-07  3.36211E-05  1.773E-06  7.01413E-08  8.099E-08
   6.20000E+01  2.31300E-06  4.558E-07  6.22713E-05  2.364E-06  6.73689E-08  7.779E-08
   6.60000E+01  2.93006E-06  5.043E-07  8.85530E-05  2.770E-06  2.38746E-07  1.440E-07
   7.00000E+01  2.99623E-06  5.029E-07  1.53420E-04  3.599E-06  1.89902E-07  1.266E-07
   7.40000E+01  4.43476E-06  6.049E-07  1.86054E-04  3.918E-06  1.65014E-07  1.167E-07
   7.80000E+01  5.37174E-06  6.599E-07  2.24863E-04  4.264E-06  2.43248E-07  1.404E-07
   8.20000E+01  6.58743E-06  7.263E-07  3.72060E-04  5.470E-06  2.60294E-07  1.444E-07
   8.60000E+01  1.18859E-05  9.720E-07  9.04975E-03  2.729E-05  5.56532E-07  2.103E-07
   9.00000E+01  1.86460E-04  2.451E-05  2.25913E-02  3.982E-05  2.79571E-06  4.709E-07
   9.40000E+01  2.00040E-03  8.596E-05  3.22200E-02  4.579E-05  7.11566E-06  7.521E-07
   9.80000E+01  4.97447E-03  1.371E-04  4.42407E-02  4.814E-05  1.29947E-05  1.020E-06
   1.02000E+02  8.79902E-03  1.839E-04  5.26064E-02  4.671E-05  2.02099E-05  1.280E-06
   1.06000E+02  1.33224E-02  2.288E-04  5.82642E-02  4.430E-05  2.49584E-05  1.435E-06
   1.10000E+02  1.77344E-02  2.673E-04  6.23352E-02  4.254E-05  2.90128E-05  1.566E-06
   1.14000E+02  2.27412E-02  3.073E-04  6.52674E-02  4.169E-05  3.21222E-05  1.669E-06
   1.18000E+02  2.81442E-02  3.479E-04  6.75928E-02  4.172E-05  3.46501E-05  1.764E-06
   1.22000E+02  3.31821E-02  3.854E-04  6.93968E-02  4.309E-05  3.71983E-05  1.866E-06
   1.26000E+02  3.84205E-02  4.246E-04  7.08172E-02  4.549E-05  3.98997E-05  1.977E-06
   1.30000E+02  4.40065E-02  4.670E-04  7.19329E-02  4.896E-05  4.30180E-05  2.110E-06
   1.34000E+02  4.83073E-02  5.048E-04  7.28309E-02  5.348E-05  4.64174E-05  2.261E-06
   1.38000E+02  5.34795E-02  5.509E-04  7.34116E-02  5.915E-05  4.67594E-05  2.353E-06
   1.42000E+02  5.75187E-02  5.957E-04  7.41230E-02  6.586E-05  4.98864E-05  2.534E-06
   1.46000E+02  6.13576E-02  6.459E-04  7.46933E-02  7.387E-05  5.42149E-05  2.772E-06
   1.50000E+02  6.48407E-02  7.024E-04  7.50829E-02  8.305E-05  5.57952E-05  2.974E-06
   1.54000E+02  6.82131E-02  7.699E-04  7.54305E-02  9.421E-05  5.55430E-05  3.169E-06
   1.58000E+02  7.07313E-02  8.486E-04  7.57424E-02  1.075E-04  5.61053E-05  3.446E-06
   1.62000E+02  7.24200E-02  9.462E-04  7.59144E-02  1.245E-04  6.18540E-05  3.984E-06
   1.66000E+02  7.55821E-02  1.094E-03  7.60284E-02  1.470E-04  5.80271E-05  4.361E-06
   1.70000E+02  7.66059E-02  1.302E-03  7.61586E-02  1.808E-04  5.94895E-05  5.212E-06
   1.74000E+02  7.67528E-02  1.681E-03  7.62262E-02  2.409E-04  5.72856E-05  6.592E-06
   1.78000E+02  7.69611E-02  2.915E-03  7.61363E-02  4.260E-04  7.49942E-05  1.305E-05
