#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT IMPACT DETECTOR - ENERGY SPECTRUM]
# detector number:  1
# Units are 1/(eV*history)
#
# Linear scale
# Energy     min    ,    max    , number of bins
#        0.00000e+00 6.10000e+06    120
#
#             |      Total spectrum     |            electron     |               gamma     |            positron     |
#             |                         |                         |                         |                         |
# Energy (eV) |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |
  2.10958E+06   9.25770E-09   1.362E-10   9.63079E-11   8.117E-12   9.14634E-09   1.359E-10   1.50535E-11   3.209E-12 
  2.16042E+06   8.85947E-09   1.336E-10   9.23735E-11   7.949E-12   8.75461E-09   1.333E-10   1.24875E-11   2.923E-12 
  2.21125E+06   8.54934E-09   1.316E-10   8.50178E-11   7.626E-12   8.44721E-09   1.313E-10   1.71062E-11   3.455E-12 
  2.26208E+06   8.23424E-09   1.293E-10   8.55310E-11   7.665E-12   8.13417E-09   1.290E-10   1.45403E-11   3.154E-12 
  2.31292E+06   7.84336E-09   1.262E-10   7.83464E-11   7.337E-12   7.75236E-09   1.260E-10   1.26586E-11   2.943E-12 
  2.36375E+06   7.53083E-09   1.242E-10   7.21882E-11   7.027E-12   7.44838E-09   1.240E-10   1.02637E-11   2.650E-12 
  2.41458E+06   7.34694E-09   1.230E-10   7.15039E-11   6.994E-12   7.26517E-09   1.228E-10   1.02637E-11   2.650E-12 
  2.46542E+06   7.04553E-09   1.205E-10   6.34640E-11   6.589E-12   6.96958E-09   1.203E-10   1.24875E-11   2.923E-12 
  2.51625E+06   6.88473E-09   1.198E-10   6.43193E-11   6.633E-12   6.80895E-09   1.196E-10   1.14612E-11   2.800E-12 
  2.56708E+06   6.56074E-09   1.168E-10   5.73058E-11   6.261E-12   6.49351E-09   1.166E-10   9.92160E-12   2.606E-12 
  2.61792E+06   6.31578E-09   1.150E-10   5.49109E-11   6.129E-12   6.25215E-09   1.148E-10   8.72416E-12   2.443E-12 
  2.66875E+06   6.10024E-09   1.127E-10   5.71347E-11   6.271E-12   6.03609E-09   1.125E-10   7.01354E-12   2.191E-12 
  2.71958E+06   5.87991E-09   1.107E-10   5.57662E-11   6.177E-12   5.81628E-09   1.105E-10   7.86885E-12   2.320E-12 
  2.77042E+06   5.62555E-09   1.089E-10   4.99501E-11   5.846E-12   5.56909E-09   1.087E-10   6.50036E-12   2.109E-12 
  2.82125E+06   5.41839E-09   1.067E-10   4.92659E-11   5.806E-12   5.36314E-09   1.066E-10   5.98717E-12   2.024E-12 
  2.87208E+06   5.20011E-09   1.043E-10   5.04633E-11   5.896E-12   5.14332E-09   1.041E-10   6.32929E-12   2.081E-12 
  2.92292E+06   5.14743E-09   1.047E-10   4.00285E-11   5.233E-12   5.10244E-09   1.046E-10   4.96080E-12   1.842E-12 
  2.97375E+06   4.88331E-09   1.015E-10   3.93443E-11   5.188E-12   4.83815E-09   1.014E-10   5.81611E-12   1.995E-12 
  3.02458E+06   4.76134E-09   1.006E-10   4.63578E-11   5.652E-12   4.70882E-09   1.005E-10   6.15823E-12   2.053E-12 
  3.07542E+06   4.61320E-09   9.932E-11   3.72915E-11   5.051E-12   4.57095E-09   9.917E-11   4.96080E-12   1.842E-12 
  3.12625E+06   4.49038E-09   9.868E-11   3.52388E-11   4.910E-12   4.45001E-09   9.855E-11   5.13186E-12   1.874E-12 
  3.17708E+06   4.27860E-09   9.587E-11   3.33571E-11   4.777E-12   4.23960E-09   9.573E-11   5.64505E-12   1.965E-12 
  3.22792E+06   4.08120E-09   9.345E-11   3.43835E-11   4.850E-12   4.04373E-09   9.331E-11   3.07912E-12   1.452E-12 
  3.27875E+06   4.00542E-09   9.283E-11   3.28439E-11   4.740E-12   3.96881E-09   9.269E-11   3.76336E-12   1.605E-12 
  3.32958E+06   3.81263E-09   9.048E-11   2.65146E-11   4.259E-12   3.78287E-09   9.037E-11   3.25018E-12   1.491E-12 
