#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING ANGULAR PARTICLES DISTRIBUTION]
# Units are particles/(sr history)
# Polar angle minimum, maximum, polar bins:
#  0.00000E+00  1.80000E+02    90
# Azimuthal angle minimum, maximum, azimuthal bins:
#  0.00000E+00  3.60000E+02    72
#
# theta (deg) :  phi (deg) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   1.00000E+00  2.37500E+02  0.00000E+00  0.000E+00  1.88110E-03  7.524E-04  0.00000E+00  0.000E+00
   1.00000E+00  2.42500E+02  0.00000E+00  0.000E+00  1.50488E-03  6.730E-04  0.00000E+00  0.000E+00
   1.00000E+00  2.47500E+02  0.00000E+00  0.000E+00  1.12866E-03  5.828E-04  0.00000E+00  0.000E+00
   1.00000E+00  2.52500E+02  0.00000E+00  0.000E+00  2.03159E-03  7.820E-04  0.00000E+00  0.000E+00
   1.00000E+00  2.57500E+02  0.00000E+00  0.000E+00  1.73061E-03  7.217E-04  0.00000E+00  0.000E+00
   1.00000E+00  2.62500E+02  0.00000E+00  0.000E+00  1.27915E-03  6.205E-04  0.00000E+00  0.000E+00
   1.00000E+00  2.67500E+02  0.00000E+00  0.000E+00  1.27915E-03  6.205E-04  0.00000E+00  0.000E+00
   1.00000E+00  2.72500E+02  0.00000E+00  0.000E+00  1.50488E-03  6.730E-04  0.00000E+00  0.000E+00
   1.00000E+00  2.77500E+02  0.00000E+00  0.000E+00  1.58012E-03  6.896E-04  0.00000E+00  0.000E+00
   1.00000E+00  2.82500E+02  0.00000E+00  0.000E+00  1.50488E-03  6.730E-04  0.00000E+00  0.000E+00
   1.00000E+00  2.87500E+02  0.00000E+00  0.000E+00  1.73061E-03  7.217E-04  0.00000E+00  0.000E+00
   1.00000E+00  2.92500E+02  0.00000E+00  0.000E+00  2.18208E-03  8.104E-04  0.00000E+00  0.000E+00
   1.00000E+00  2.97500E+02  0.00000E+00  0.000E+00  1.80586E-03  7.372E-04  0.00000E+00  0.000E+00
   1.00000E+00  3.02500E+02  0.00000E+00  0.000E+00  1.73061E-03  7.217E-04  0.00000E+00  0.000E+00
   1.00000E+00  3.07500E+02  0.00000E+00  0.000E+00  1.80586E-03  7.372E-04  0.00000E+00  0.000E+00
   1.00000E+00  3.12500E+02  0.00000E+00  0.000E+00  2.18208E-03  8.104E-04  0.00000E+00  0.000E+00
   1.00000E+00  3.17500E+02  0.00000E+00  0.000E+00  1.58012E-03  6.896E-04  0.00000E+00  0.000E+00
   1.00000E+00  3.22500E+02  0.00000E+00  0.000E+00  1.42964E-03  6.560E-04  0.00000E+00  0.000E+00
   1.00000E+00  3.27500E+02  0.00000E+00  0.000E+00  1.73061E-03  7.217E-04  0.00000E+00  0.000E+00
   1.00000E+00  3.32500E+02  0.00000E+00  0.000E+00  1.12866E-03  5.828E-04  0.00000E+00  0.000E+00
