#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING POLAR PARTICLES DISTRIBUTION]
# Units are particles/(sr history)
#
# Polar angle minimum, maximum, polar bins:
#  0.00000E+00  1.80000E+02    90
#
# theta (deg) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   1.11000E+02  0.00000E+00  0.000E+00  6.55522E-04  7.157E-06  0.00000E+00  0.000E+00
   1.13000E+02  0.00000E+00  0.000E+00  6.64319E-04  7.256E-06  0.00000E+00  0.000E+00
   1.15000E+02  0.00000E+00  0.000E+00  6.67702E-04  7.331E-06  0.00000E+00  0.000E+00
   1.17000E+02  0.00000E+00  0.000E+00  6.72925E-04  7.422E-06  0.00000E+00  0.000E+00
   1.19000E+02  0.00000E+00  0.000E+00  6.73250E-04  7.493E-06  0.00000E+00  0.000E+00
   1.21000E+02  0.00000E+00  0.000E+00  6.72148E-04  7.563E-06  0.00000E+00  0.000E+00
   1.23000E+02  0.00000E+00  0.000E+00  6.67443E-04  7.619E-06  0.00000E+00  0.000E+00
   1.25000E+02  0.00000E+00  0.000E+00  6.58788E-04  7.659E-06  0.00000E+00  0.000E+00
   1.27000E+02  0.00000E+00  0.000E+00  6.49130E-04  7.700E-06  0.00000E+00  0.000E+00
   1.29000E+02  0.00000E+00  0.000E+00  6.30069E-04  7.690E-06  0.00000E+00  0.000E+00
   1.31000E+02  0.00000E+00  0.000E+00  6.08707E-04  7.670E-06  0.00000E+00  0.000E+00
   1.33000E+02  0.00000E+00  0.000E+00  5.70414E-04  7.543E-06  0.00000E+00  0.000E+00
   1.35000E+02  0.00000E+00  0.000E+00  5.31732E-04  7.407E-06  0.00000E+00  0.000E+00
   1.37000E+02  0.00000E+00  0.000E+00  4.81830E-04  7.179E-06  0.00000E+00  0.000E+00
   1.39000E+02  0.00000E+00  0.000E+00  4.12559E-04  6.773E-06  0.00000E+00  0.000E+00
   1.41000E+02  0.00000E+00  0.000E+00  3.50678E-04  6.376E-06  0.00000E+00  0.000E+00
   1.43000E+02  0.00000E+00  0.000E+00  2.74453E-04  5.768E-06  0.00000E+00  0.000E+00
   1.45000E+02  0.00000E+00  0.000E+00  1.95496E-04  4.986E-06  0.00000E+00  0.000E+00
   1.47000E+02  0.00000E+00  0.000E+00  1.01836E-04  3.693E-06  0.00000E+00  0.000E+00
   1.49000E+02  0.00000E+00  0.000E+00  2.55323E-05  1.902E-06  0.00000E+00  0.000E+00
   1.51000E+02  0.00000E+00  0.000E+00  3.38584E-07  2.257E-07  0.00000E+00  0.000E+00
   1.53000E+02  0.00000E+00  0.000E+00  2.00871E-07  1.797E-07  0.00000E+00  0.000E+00
   1.55000E+02  0.00000E+00  0.000E+00  3.02096E-07  2.284E-07  0.00000E+00  0.000E+00
   1.57000E+02  0.00000E+00  0.000E+00  2.80071E-07  2.287E-07  0.00000E+00  0.000E+00
   1.59000E+02  0.00000E+00  0.000E+00  2.03576E-07  2.036E-07  0.00000E+00  0.000E+00
   1.61000E+02  0.00000E+00  0.000E+00  2.24085E-07  2.241E-07  0.00000E+00  0.000E+00
   1.63000E+02  0.00000E+00  0.000E+00  6.23820E-08  1.248E-07  0.00000E+00  0.000E+00
   1.65000E+02  0.00000E+00  0.000E+00  2.11407E-07  2.441E-07  0.00000E+00  0.000E+00
   1.67000E+02  0.00000E+00  0.000E+00  2.43236E-07  2.809E-07  0.00000E+00  0.000E+00
   1.69000E+02  0.00000E+00  0.000E+00  1.91173E-07  2.704E-07  0.00000E+00  0.000E+00
   1.71000E+02  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   1.73000E+02  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   1.75000E+02  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   1.77000E+02  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   1.79000E+02  0.00000E+00  0.000E+00  3.13517E-06  3.620E-06  0.00000E+00  0.000E+00
