#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING DOWNBOUND PARTICLES DISTRIBUTION]
# Units are particles/(eV history)
# Energy minimum, maximum, energy bins:
#  0.00000E+00  1.45000E+06   280
#
# Energy (eV) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   2.87411E+05  2.66097E-09  1.434E-10  2.06016E-07  1.261E-09  0.00000E+00  0.000E+00
   2.92589E+05  2.65324E-09  1.433E-10  2.08318E-07  1.268E-09  0.00000E+00  0.000E+00
   2.97768E+05  2.62234E-09  1.423E-10  2.09813E-07  1.272E-09  0.00000E+00  0.000E+00
   3.02946E+05  2.70731E-09  1.446E-10  2.12093E-07  1.279E-09  0.00000E+00  0.000E+00
   3.08125E+05  2.75559E-09  1.459E-10  2.15743E-07  1.290E-09  0.00000E+00  0.000E+00
   3.13304E+05  2.73048E-09  1.452E-10  2.15838E-07  1.291E-09  0.00000E+00  0.000E+00
   3.18482E+05  2.82510E-09  1.477E-10  2.18350E-07  1.298E-09  0.00000E+00  0.000E+00
   3.23661E+05  2.67834E-09  1.438E-10  2.20839E-07  1.305E-09  0.00000E+00  0.000E+00
   3.28839E+05  2.80000E-09  1.471E-10  2.24579E-07  1.316E-09  0.00000E+00  0.000E+00
   3.34018E+05  2.74786E-09  1.457E-10  2.29420E-07  1.330E-09  0.00000E+00  0.000E+00
   3.39196E+05  2.65903E-09  1.433E-10  2.35636E-07  1.348E-09  0.00000E+00  0.000E+00
   3.44375E+05  2.65324E-09  1.432E-10  2.42536E-07  1.368E-09  0.00000E+00  0.000E+00
   3.49554E+05  2.75559E-09  1.460E-10  2.56814E-07  1.408E-09  0.00000E+00  0.000E+00
   3.54732E+05  2.80579E-09  1.473E-10  2.87261E-07  1.489E-09  0.00000E+00  0.000E+00
   3.59911E+05  2.83669E-09  1.480E-10  3.27807E-07  1.590E-09  0.00000E+00  0.000E+00
   3.65089E+05  2.74400E-09  1.456E-10  3.58151E-07  1.662E-09  0.00000E+00  0.000E+00
   3.70268E+05  2.66869E-09  1.436E-10  3.97758E-07  1.751E-09  0.00000E+00  0.000E+00
   3.75446E+05  2.77876E-09  1.465E-10  4.28385E-07  1.817E-09  0.00000E+00  0.000E+00
   3.80625E+05  2.79034E-09  1.468E-10  4.45020E-07  1.852E-09  0.00000E+00  0.000E+00
   3.85804E+05  2.82124E-09  1.476E-10  4.52086E-07  1.867E-09  0.00000E+00  0.000E+00
   3.90982E+05  2.76331E-09  1.461E-10  4.59034E-07  1.881E-09  0.00000E+00  0.000E+00
   3.96161E+05  2.63779E-09  1.427E-10  4.62521E-07  1.888E-09  0.00000E+00  0.000E+00
   4.01339E+05  2.66869E-09  1.436E-10  4.67138E-07  1.897E-09  0.00000E+00  0.000E+00
   4.06518E+05  2.73434E-09  1.453E-10  4.71002E-07  1.905E-09  0.00000E+00  0.000E+00
   4.11696E+05  2.76331E-09  1.461E-10  4.72850E-07  1.909E-09  0.00000E+00  0.000E+00
   4.16875E+05  2.63779E-09  1.427E-10  4.72953E-07  1.909E-09  0.00000E+00  0.000E+00
   4.22054E+05  2.83283E-09  1.479E-10  4.76689E-07  1.917E-09  0.00000E+00  0.000E+00
   4.27232E+05  2.65131E-09  1.431E-10  4.77081E-07  1.917E-09  0.00000E+00  0.000E+00
   4.32411E+05  2.82510E-09  1.477E-10  4.79323E-07  1.922E-09  0.00000E+00  0.000E+00
   4.37589E+05  2.80386E-09  1.472E-10  4.80169E-07  1.924E-09  0.00000E+00  0.000E+00
   4.42768E+05  2.90428E-09  1.498E-10  4.80140E-07  1.923E-09  0.00000E+00  0.000E+00
   4.47946E+05  2.77490E-09  1.464E-10  4.79267E-07  1.922E-09  0.00000E+00  0.000E+00
   4.53125E+05  2.58952E-09  1.414E-10  4.80047E-07  1.923E-09  0.00000E+00  0.000E+00
   4.58304E+05  2.73241E-09  1.453E-10  4.79625E-07  1.922E-09  0.00000E+00  0.000E+00
   4.63482E+05  2.76138E-09  1.460E-10  4.80675E-07  1.925E-09  0.00000E+00  0.000E+00
   4.68661E+05  2.73048E-09  1.452E-10  4.81776E-07  1.927E-09  0.00000E+00  0.000E+00
   4.73839E+05  2.75559E-09  1.459E-10  4.81739E-07  1.927E-09  0.00000E+00  0.000E+00
   4.79018E+05  2.83862E-09  1.481E-10  4.80003E-07  1.923E-09  0.00000E+00  0.000E+00
   4.84196E+05  2.78069E-09  1.466E-10  4.79922E-07  1.923E-09  0.00000E+00  0.000E+00
   4.89375E+05  2.58372E-09  1.413E-10  4.80696E-07  1.925E-09  0.00000E+00  0.000E+00
   4.94554E+05  2.83862E-09  1.481E-10  4.80801E-07  1.925E-09  0.00000E+00  0.000E+00
   4.99732E+05  2.79421E-09  1.469E-10  4.79570E-07  1.922E-09  0.00000E+00  0.000E+00
   5.04911E+05  2.73628E-09  1.454E-10  4.78597E-07  1.920E-09  0.00000E+00  0.000E+00
