#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING UPBOUND PARTICLES DISTRIBUTION]
# Units are particles/(eV history)
# Energy window (eV), energy bins:
#  0.00000E+00  1.45000E+06   280
#
# Energy (eV) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   2.87411E+05  2.20524E-09  1.305E-10  5.53902E-07  2.066E-09  0.00000E+00  0.000E+00
   2.92589E+05  2.01986E-09  1.249E-10  5.45876E-07  2.051E-09  1.93103E-12  3.862E-12
   2.97768E+05  2.07586E-09  1.266E-10  5.33672E-07  2.028E-09  0.00000E+00  0.000E+00
   3.02946E+05  2.13379E-09  1.284E-10  5.25925E-07  2.013E-09  0.00000E+00  0.000E+00
   3.08125E+05  2.15890E-09  1.291E-10  5.15214E-07  1.992E-09  0.00000E+00  0.000E+00
   3.13304E+05  1.94841E-09  1.227E-10  5.02276E-07  1.967E-09  0.00000E+00  0.000E+00
   3.18482E+05  2.12607E-09  1.281E-10  4.90736E-07  1.945E-09  0.00000E+00  0.000E+00
   3.23661E+05  2.03338E-09  1.253E-10  4.78201E-07  1.920E-09  0.00000E+00  0.000E+00
   3.28839E+05  1.94455E-09  1.226E-10  4.65966E-07  1.895E-09  0.00000E+00  0.000E+00
   3.34018E+05  1.97159E-09  1.234E-10  4.53654E-07  1.870E-09  0.00000E+00  0.000E+00
   3.39196E+05  1.89628E-09  1.210E-10  4.37306E-07  1.836E-09  0.00000E+00  0.000E+00
   3.44375E+05  1.94648E-09  1.226E-10  4.19247E-07  1.798E-09  0.00000E+00  0.000E+00
   3.49554E+05  1.88855E-09  1.208E-10  3.96227E-07  1.748E-09  0.00000E+00  0.000E+00
   3.54732E+05  1.93297E-09  1.222E-10  3.58106E-07  1.662E-09  0.00000E+00  0.000E+00
   3.59911E+05  1.94069E-09  1.226E-10  3.08749E-07  1.543E-09  0.00000E+00  0.000E+00
   3.65089E+05  1.98510E-09  1.238E-10  2.70387E-07  1.444E-09  0.00000E+00  0.000E+00
   3.70268E+05  1.89821E-09  1.211E-10  2.23251E-07  1.312E-09  0.00000E+00  0.000E+00
   3.75446E+05  1.84993E-09  1.195E-10  1.87166E-07  1.202E-09  0.00000E+00  0.000E+00
   3.80625E+05  1.87697E-09  1.204E-10  1.67525E-07  1.137E-09  0.00000E+00  0.000E+00
   3.85804E+05  1.90014E-09  1.211E-10  1.52866E-07  1.086E-09  0.00000E+00  0.000E+00
   3.90982E+05  1.75917E-09  1.166E-10  1.40278E-07  1.041E-09  0.00000E+00  0.000E+00
   3.96161E+05  1.87503E-09  1.205E-10  1.31179E-07  1.006E-09  0.00000E+00  0.000E+00
   4.01339E+05  1.78621E-09  1.175E-10  1.21022E-07  9.666E-10  0.00000E+00  0.000E+00
   4.06518E+05  1.89048E-09  1.208E-10  1.12174E-07  9.306E-10  0.00000E+00  0.000E+00
   4.11696E+05  1.83062E-09  1.189E-10  1.05776E-07  9.037E-10  0.00000E+00  0.000E+00
   4.16875E+05  1.72055E-09  1.153E-10  9.82646E-08  8.710E-10  0.00000E+00  0.000E+00
   4.22054E+05  1.78428E-09  1.174E-10  9.20292E-08  8.430E-10  0.00000E+00  0.000E+00
   4.27232E+05  1.79779E-09  1.178E-10  8.62033E-08  8.158E-10  0.00000E+00  0.000E+00
