#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT IMPACT DETECTOR - DEPOSITED ENERGY SPECTRUM]
# detector number:  1
# Mean energy deposited: 5.22143e+05  +- 1.044e+02
# Units are 1/(eV*particle)
#
# Linear scale
# Energy     min    ,    max    , number of bins
#       0.00000e+00  1.45000e+06      280
#
# deposited E (eV) :     prob     : +-2sigma
  6.13661E+05   3.46951E-07   1.636E-09 
  6.18839E+05   3.48341E-07   1.639E-09 
  6.24018E+05   3.50280E-07   1.643E-09 
  6.29196E+05   3.51442E-07   1.646E-09 
  6.34375E+05   3.53150E-07   1.650E-09 
  6.39554E+05   3.55554E-07   1.656E-09 
  6.44732E+05   3.56477E-07   1.658E-09 
  6.49911E+05   3.59087E-07   1.664E-09 
  6.55089E+05   3.61382E-07   1.669E-09 
  6.60268E+05   3.84788E-07   1.722E-09 
  6.65446E+05   3.64577E-07   1.677E-09 
  6.70625E+05   3.66837E-07   1.682E-09 
  6.75804E+05   3.68818E-07   1.686E-09 
  6.80982E+05   3.70515E-07   1.690E-09 
  6.86161E+05   3.73665E-07   1.697E-09 
  6.91339E+05   3.75438E-07   1.701E-09 
  6.96518E+05   3.77519E-07   1.706E-09 
  7.01696E+05   3.80927E-07   1.714E-09 
  7.06875E+05   3.81142E-07   1.714E-09 
  7.12054E+05   3.83212E-07   1.719E-09 
  7.17232E+05   3.84280E-07   1.721E-09 
  7.22411E+05   3.86489E-07   1.726E-09 
  7.27589E+05   3.90150E-07   1.734E-09 
  7.32768E+05   3.93120E-07   1.741E-09 
  7.37946E+05   3.95794E-07   1.747E-09 
  7.43125E+05   3.98535E-07   1.753E-09 
  7.48304E+05   4.01547E-07   1.759E-09 
  7.53482E+05   4.00454E-07   1.757E-09 
  7.58661E+05   4.06126E-07   1.769E-09 
  7.63839E+05   4.06913E-07   1.771E-09 
  7.69018E+05   4.09441E-07   1.776E-09 
  7.74196E+05   4.11569E-07   1.781E-09 
  7.79375E+05   4.15109E-07   1.789E-09 
  7.84554E+05   4.18913E-07   1.797E-09 
  7.89732E+05   4.21259E-07   1.802E-09 
  7.94911E+05   4.23016E-07   1.806E-09 
  8.00089E+05   4.23843E-07   1.807E-09 
  8.05268E+05   4.28126E-07   1.816E-09 
  8.10446E+05   4.33017E-07   1.827E-09 
  8.15625E+05   4.33090E-07   1.827E-09 
  8.20804E+05   5.57793E-07   2.073E-09 
  8.25982E+05   4.43924E-07   1.850E-09 
  8.31161E+05   4.49176E-07   1.860E-09 
  8.36339E+05   4.52492E-07   1.867E-09 
  8.41518E+05   4.54423E-07   1.871E-09 
  8.46696E+05   4.58615E-07   1.880E-09 
  8.51875E+05   4.61498E-07   1.886E-09 
  8.57054E+05   4.69002E-07   1.901E-09 
  8.62232E+05   4.73957E-07   1.911E-09 
  8.67411E+05   4.75564E-07   1.914E-09 
  8.72589E+05   4.78889E-07   1.921E-09 
  8.77768E+05   4.86586E-07   1.936E-09 
  8.82946E+05   4.87546E-07   1.938E-09 
  8.88125E+05   4.92729E-07   1.948E-09 
  8.93304E+05   4.93794E-07   1.950E-09 
  8.98482E+05   4.98908E-07   1.961E-09 
  9.03661E+05   4.98692E-07   1.960E-09 
  9.08839E+05   5.01277E-07   1.965E-09 
  9.14018E+05   5.03770E-07   1.970E-09 
  9.19196E+05   5.06804E-07   1.976E-09 
  9.24375E+05   5.11334E-07   1.985E-09 
  9.29554E+05   5.10566E-07   1.983E-09 
  9.34732E+05   5.15034E-07   1.992E-09 
  9.39911E+05   5.13939E-07   1.990E-09 
  9.45089E+05   5.10963E-07   1.984E-09 
  9.50268E+05   5.11147E-07   1.984E-09 
  9.55446E+05   4.92257E-07   1.947E-09 
  9.60625E+05   4.31430E-07   1.823E-09 
  9.65804E+05   3.72993E-07   1.696E-09 
  9.70982E+05   3.47959E-07   1.638E-09 
  9.76161E+05   3.37068E-07   1.612E-09 
  9.81339E+05   3.26466E-07   1.587E-09 
  9.86518E+05   3.16738E-07   1.563E-09 
  9.91696E+05   3.09408E-07   1.545E-09 
  9.96875E+05   3.02937E-07   1.528E-09 
  1.00205E+06   2.98694E-07   1.518E-09 
  1.00723E+06   2.93272E-07   1.504E-09 
