#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT IMPACT DETECTOR - DEPOSITED ENERGY SPECTRUM]
# detector number:  3
# Mean energy deposited: 6.79127e+04  +- 8.590e+00
# Units are 1/(eV*particle)
#
# Linear scale
# Energy     min    ,    max    , number of bins
#       0.00000e+00  1.41000e+06      140
#
# deposited E (eV) :     prob     : +-2sigma
  5.03571E+03   3.29668E-07   7.225E-10 
  1.51071E+04   2.94952E-07   6.835E-10 
  2.51786E+04   2.75039E-07   6.601E-10 
  3.52500E+04   2.59331E-07   6.410E-10 
  4.53214E+04   2.42464E-07   6.199E-10 
  5.53929E+04   2.28015E-07   6.012E-10 
  6.54643E+04   2.14245E-07   5.828E-10 
  7.55357E+04   2.03215E-07   5.676E-10 
  8.56071E+04   1.93434E-07   5.538E-10 
  9.56786E+04   1.85567E-07   5.424E-10 
  1.05750E+05   1.79217E-07   5.331E-10 
  1.15821E+05   1.74326E-07   5.258E-10 
  1.25893E+05   1.69894E-07   5.191E-10 
  1.35964E+05   1.65750E-07   5.127E-10 
  1.46036E+05   1.62778E-07   5.081E-10 
  1.56107E+05   1.60222E-07   5.041E-10 
  1.66179E+05   1.57260E-07   4.994E-10 
  1.76250E+05   1.56019E-07   4.975E-10 
  1.86321E+05   1.53706E-07   4.938E-10 
  1.96393E+05   1.53190E-07   4.929E-10 
  2.06464E+05   1.52297E-07   4.915E-10 
  2.16536E+05   1.50741E-07   4.890E-10 
  2.26607E+05   1.49800E-07   4.875E-10 
  2.36679E+05   1.48217E-07   4.849E-10 
  2.46750E+05   1.46786E-07   4.825E-10 
  2.56821E+05   1.44863E-07   4.794E-10 
  2.66893E+05   1.42485E-07   4.754E-10 
  2.76964E+05   1.40205E-07   4.716E-10 
  2.87036E+05   1.38307E-07   4.684E-10 
  2.97107E+05   1.35928E-07   4.644E-10 
  3.07179E+05   1.35237E-07   4.632E-10 
  3.17250E+05   1.30996E-07   4.559E-10 
  3.27321E+05   1.28828E-07   4.521E-10 
  3.37393E+05   1.26760E-07   4.485E-10 
  3.47464E+05   1.24176E-07   4.439E-10 
  3.57536E+05   1.21804E-07   4.396E-10 
  3.67607E+05   1.19671E-07   4.358E-10 
  3.77679E+05   1.17887E-07   4.325E-10 
  3.87750E+05   1.16156E-07   4.293E-10 
  3.97821E+05   1.13966E-07   4.253E-10 
  4.07893E+05   1.12390E-07   4.223E-10 
  4.17964E+05   1.10617E-07   4.190E-10 
  4.28036E+05   1.08724E-07   4.154E-10 
  4.38107E+05   1.07592E-07   4.132E-10 
  4.48179E+05   1.05911E-07   4.100E-10 
  4.58250E+05   1.04622E-07   4.075E-10 
  4.68321E+05   1.03608E-07   4.055E-10 
  4.78393E+05   1.02358E-07   4.030E-10 
  4.88464E+05   1.00905E-07   4.002E-10 
  4.98536E+05   1.00134E-07   3.986E-10 
  5.08607E+05   9.91129E-08   3.966E-10 
  5.18679E+05   9.80770E-08   3.945E-10 
  5.28750E+05   9.71600E-08   3.927E-10 
  5.38821E+05   9.58724E-08   3.901E-10 
  5.48893E+05   9.57755E-08   3.899E-10 
  5.58964E+05   9.49121E-08   3.881E-10 
  5.69036E+05   9.37273E-08   3.857E-10 
  5.79107E+05   9.27805E-08   3.837E-10 
  5.89179E+05   9.25799E-08   3.833E-10 
  5.99250E+05   9.17935E-08   3.817E-10 
  6.09321E+05   9.15783E-08   3.813E-10 
  6.19393E+05   9.08177E-08   3.797E-10 
  6.29464E+05   9.02120E-08   3.784E-10 
  6.39536E+05   8.96314E-08   3.772E-10 
  6.49607E+05   8.89085E-08   3.757E-10 
  6.59679E+05   8.82600E-08   3.743E-10 
  6.69750E+05   8.74021E-08   3.725E-10 
  6.79821E+05   8.73473E-08   3.723E-10 
  6.89893E+05   8.66260E-08   3.708E-10 
  6.99964E+05   8.64326E-08   3.704E-10 
  7.10036E+05   8.53027E-08   3.680E-10 
  7.20107E+05   8.47761E-08   3.668E-10 
  7.30179E+05   8.42395E-08   3.657E-10 
  7.40250E+05   8.31286E-08   3.633E-10 
  7.50321E+05   8.14411E-08   3.595E-10 
  7.60393E+05   7.96634E-08   3.556E-10 
  7.70464E+05   7.74222E-08   3.506E-10 
  7.80536E+05   7.52557E-08   3.456E-10 
  7.90607E+05   7.31956E-08   3.409E-10 
  8.00679E+05   7.21721E-08   3.385E-10 
  8.10750E+05   7.27472E-08   3.398E-10 
  8.20821E+05   7.38545E-08   3.424E-10 
  8.30893E+05   7.72907E-08   3.503E-10 
  8.40964E+05   8.26703E-08   3.622E-10 
  8.51036E+05   9.00079E-08   3.780E-10 
  8.61107E+05   9.72617E-08   3.929E-10 
  8.71179E+05   1.03974E-07   4.062E-10 
  8.81250E+05   1.10167E-07   4.181E-10 
