#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT IMPACT DETECTOR - DEPOSITED ENERGY SPECTRUM]
# detector number:  2
# Mean energy deposited: 8.70921e+04  +- 1.102e+01
# Units are 1/(eV*particle)
#
# Linear scale
# Energy     min    ,    max    , number of bins
#       0.00000e+00  1.41000e+06      140
#
# deposited E (eV) :     prob     : +-2sigma
  5.03571E+03   2.97350E-07   6.863E-10 
  1.51071E+04   2.98229E-07   6.873E-10 
  2.51786E+04   2.96243E-07   6.850E-10 
  3.52500E+04   2.85775E-07   6.728E-10 
  4.53214E+04   2.73168E-07   6.579E-10 
  5.53929E+04   2.64567E-07   6.474E-10 
  6.54643E+04   2.58126E-07   6.395E-10 
  7.55357E+04   2.52195E-07   6.322E-10 
  8.56071E+04   2.49624E-07   6.289E-10 
  9.56786E+04   2.47572E-07   6.264E-10 
  1.05750E+05   2.41652E-07   6.188E-10 
  1.15821E+05   2.33367E-07   6.082E-10 
  1.25893E+05   2.26344E-07   5.990E-10 
  1.35964E+05   2.18276E-07   5.882E-10 
  1.46036E+05   2.11101E-07   5.785E-10 
  1.56107E+05   2.03087E-07   5.674E-10 
  1.66179E+05   1.95345E-07   5.565E-10 
  1.76250E+05   1.87892E-07   5.458E-10 
  1.86321E+05   1.81731E-07   5.368E-10 
  1.96393E+05   1.76341E-07   5.288E-10 
  2.06464E+05   1.71542E-07   5.216E-10 
  2.16536E+05   1.69128E-07   5.179E-10 
  2.26607E+05   1.65139E-07   5.118E-10 
  2.36679E+05   1.62014E-07   5.069E-10 
  2.46750E+05   1.58096E-07   5.008E-10 
  2.56821E+05   1.54751E-07   4.954E-10 
  2.66893E+05   1.51806E-07   4.907E-10 
  2.76964E+05   1.49117E-07   4.864E-10 
  2.87036E+05   1.46559E-07   4.822E-10 
  2.97107E+05   1.44107E-07   4.781E-10 
  3.07179E+05   1.45401E-07   4.803E-10 
  3.17250E+05   1.39705E-07   4.708E-10 
  3.27321E+05   1.36752E-07   4.658E-10 
  3.37393E+05   1.35306E-07   4.633E-10 
  3.47464E+05   1.32917E-07   4.592E-10 
  3.57536E+05   1.30903E-07   4.557E-10 
  3.67607E+05   1.29170E-07   4.527E-10 
  3.77679E+05   1.27554E-07   4.499E-10 
  3.87750E+05   1.26471E-07   4.480E-10 
  3.97821E+05   1.24679E-07   4.448E-10 
  4.07893E+05   1.23270E-07   4.423E-10 
  4.17964E+05   1.22350E-07   4.406E-10 
  4.28036E+05   1.21613E-07   4.393E-10 
  4.38107E+05   1.20330E-07   4.370E-10 
  4.48179E+05   1.19115E-07   4.347E-10 
  4.58250E+05   1.17945E-07   4.326E-10 
  4.68321E+05   1.16749E-07   4.304E-10 
  4.78393E+05   1.16439E-07   4.298E-10 
  4.88464E+05   1.15565E-07   4.282E-10 
  4.98536E+05   1.14829E-07   4.269E-10 
  5.08607E+05   1.14045E-07   4.254E-10 
  5.18679E+05   1.13056E-07   4.236E-10 
  5.28750E+05   1.12172E-07   4.219E-10 
  5.38821E+05   1.11656E-07   4.209E-10 
  5.48893E+05   1.11187E-07   4.200E-10 
  5.58964E+05   1.10467E-07   4.187E-10 
  5.69036E+05   1.10481E-07   4.187E-10 
  5.79107E+05   1.09926E-07   4.177E-10 
  5.89179E+05   1.09243E-07   4.164E-10 
  5.99250E+05   1.08608E-07   4.152E-10 
  6.09321E+05   1.08254E-07   4.145E-10 
  6.19393E+05   1.08008E-07   4.140E-10 
  6.29464E+05   1.07561E-07   4.131E-10 
  6.39536E+05   1.06815E-07   4.117E-10 
  6.49607E+05   1.06617E-07   4.113E-10 
  6.59679E+05   1.05944E-07   4.100E-10 
  6.69750E+05   1.05365E-07   4.089E-10 
  6.79821E+05   1.04759E-07   4.077E-10 
  6.89893E+05   1.03984E-07   4.062E-10 
  6.99964E+05   1.03917E-07   4.061E-10 
  7.10036E+05   1.03048E-07   4.044E-10 
  7.20107E+05   1.01967E-07   4.023E-10 
  7.30179E+05   1.00728E-07   3.998E-10 
  7.40250E+05   9.96049E-08   3.976E-10 
  7.50321E+05   9.77982E-08   3.940E-10 
  7.60393E+05   9.58962E-08   3.901E-10 
  7.70464E+05   9.32674E-08   3.847E-10 
  7.80536E+05   9.16557E-08   3.814E-10 
  7.90607E+05   9.02927E-08   3.786E-10 
  8.00679E+05   8.93689E-08   3.766E-10 
  8.10750E+05   9.06088E-08   3.792E-10 
  8.20821E+05   9.38214E-08   3.859E-10 
  8.30893E+05   9.84448E-08   3.953E-10 
  8.40964E+05   1.06001E-07   4.101E-10 
  8.51036E+05   1.15831E-07   4.287E-10 
  8.61107E+05   1.25249E-07   4.458E-10 
  8.71179E+05   1.34612E-07   4.621E-10 
  8.81250E+05   1.43268E-07   4.767E-10 
  8.91321E+05   1.51527E-07   4.903E-10 
  9.01393E+05   1.59544E-07   5.030E-10 
  9.11464E+05   1.68385E-07   5.168E-10 
  9.21536E+05   1.76687E-07   5.293E-10 
  9.31607E+05   1.86090E-07   5.432E-10 
  9.41679E+05   1.96921E-07   5.588E-10 
  9.51750E+05   2.03498E-07   5.680E-10 
  9.61821E+05   1.46763E-07   4.825E-10 
  9.71893E+05   1.07418E-07   4.129E-10 
  9.81964E+05   1.09107E-07   4.161E-10 
  9.92036E+05   1.14634E-07   4.265E-10 
  1.00211E+06   1.20802E-07   4.378E-10 
  1.01218E+06   1.26348E-07   4.477E-10 
  1.02225E+06   1.26610E-07   4.482E-10 
  1.03232E+06   1.28149E-07   4.509E-10 
  1.04239E+06   1.31318E-07   4.564E-10 
  1.05246E+06   1.32871E-07   4.591E-10 
  1.06254E+06   1.35586E-07   4.638E-10 
  1.07261E+06   1.38131E-07   4.681E-10 
  1.08268E+06   1.40358E-07   4.719E-10 
  1.09275E+06   1.44457E-07   4.787E-10 
  1.10282E+06   1.48986E-07   4.861E-10 
