#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING DOWNBOUND PARTICLES DISTRIBUTION]
# Units are particles/(eV history)
# Energy minimum, maximum, energy bins:
#  0.00000E+00  1.41000E+06   140
#
# Energy (eV) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   5.58964E+05  4.60709E-11  8.555E-12  7.78440E-11  1.112E-11  0.00000E+00  0.000E+00
   5.69036E+05  4.44823E-11  8.406E-12  5.32199E-11  9.195E-12  0.00000E+00  0.000E+00
   5.79107E+05  4.01135E-11  7.983E-12  3.89220E-11  7.863E-12  0.00000E+00  0.000E+00
   5.89179E+05  3.53475E-11  7.494E-12  2.74043E-11  6.598E-12  0.00000E+00  0.000E+00
   5.99250E+05  2.89929E-11  6.787E-12  2.42270E-11  6.204E-12  0.00000E+00  0.000E+00
   6.09321E+05  3.41560E-11  7.366E-12  1.82695E-11  5.387E-12  0.00000E+00  0.000E+00
   6.19393E+05  3.25674E-11  7.193E-12  1.27092E-11  4.493E-12  0.00000E+00  0.000E+00
   6.29464E+05  2.54184E-11  6.355E-12  1.19149E-11  4.351E-12  0.00000E+00  0.000E+00
   6.39536E+05  2.34326E-11  6.101E-12  1.15177E-11  4.278E-12  0.00000E+00  0.000E+00
   6.49607E+05  2.89929E-11  6.787E-12  5.56028E-12  2.972E-12  0.00000E+00  0.000E+00
   6.59679E+05  2.42270E-11  6.204E-12  9.13475E-12  3.809E-12  0.00000E+00  0.000E+00
   6.69750E+05  1.86667E-11  5.446E-12  8.34043E-12  3.640E-12  0.00000E+00  0.000E+00
   6.79821E+05  1.90638E-11  5.503E-12  5.56028E-12  2.972E-12  0.00000E+00  0.000E+00
   6.89893E+05  1.94610E-11  5.560E-12  6.35461E-12  3.177E-12  0.00000E+00  0.000E+00
   6.99964E+05  1.94610E-11  5.560E-12  5.95745E-12  3.076E-12  0.00000E+00  0.000E+00
   7.10036E+05  1.31064E-11  4.563E-12  5.16312E-12  2.864E-12  0.00000E+00  0.000E+00
   7.20107E+05  1.11206E-11  4.203E-12  3.17730E-12  2.247E-12  0.00000E+00  0.000E+00
   7.30179E+05  9.92908E-12  3.972E-12  2.38298E-12  1.946E-12  0.00000E+00  0.000E+00
   7.40250E+05  9.53191E-12  3.891E-12  2.38298E-12  1.946E-12  0.00000E+00  0.000E+00
   7.50321E+05  1.31064E-11  4.563E-12  2.78014E-12  2.102E-12  0.00000E+00  0.000E+00
   7.60393E+05  1.11206E-11  4.203E-12  1.58865E-12  1.589E-12  0.00000E+00  0.000E+00
   7.70464E+05  6.35461E-12  3.177E-12  2.78014E-12  2.102E-12  0.00000E+00  0.000E+00
   7.80536E+05  9.53191E-12  3.891E-12  1.19149E-12  1.376E-12  0.00000E+00  0.000E+00
   7.90607E+05  8.73759E-12  3.726E-12  1.98582E-12  1.776E-12  0.00000E+00  0.000E+00
   8.00679E+05  5.56028E-12  2.972E-12  3.97163E-13  7.943E-13  0.00000E+00  0.000E+00
   8.10750E+05  7.54610E-12  3.462E-12  7.94326E-13  1.123E-12  0.00000E+00  0.000E+00
   8.20821E+05  5.16312E-12  2.864E-12  7.94326E-13  1.123E-12  0.00000E+00  0.000E+00
   8.30893E+05  4.36879E-12  2.634E-12  7.94326E-13  1.123E-12  0.00000E+00  0.000E+00
   8.40964E+05  4.76596E-12  2.752E-12  7.94326E-13  1.123E-12  0.00000E+00  0.000E+00
   8.51036E+05  5.56028E-12  2.972E-12  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   8.61107E+05  4.76596E-12  2.752E-12  7.94326E-13  1.123E-12  0.00000E+00  0.000E+00
   8.71179E+05  3.97163E-12  2.512E-12  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   8.81250E+05  2.78014E-12  2.102E-12  3.97163E-13  7.943E-13  0.00000E+00  0.000E+00
   8.91321E+05  1.98582E-12  1.776E-12  3.97163E-13  7.943E-13  0.00000E+00  0.000E+00
   9.01393E+05  2.78014E-12  2.102E-12  3.97163E-13  7.943E-13  0.00000E+00  0.000E+00
   9.11464E+05  3.57447E-12  2.383E-12  1.19149E-12  1.376E-12  0.00000E+00  0.000E+00
   9.21536E+05  2.78014E-12  2.102E-12  3.97163E-13  7.943E-13  0.00000E+00  0.000E+00
   9.31607E+05  1.19149E-12  1.376E-12  7.94326E-13  1.123E-12  0.00000E+00  0.000E+00
   9.41679E+05  3.97163E-13  7.943E-13  3.97163E-13  7.943E-13  0.00000E+00  0.000E+00
   9.51750E+05  1.98582E-12  1.776E-12  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   9.61821E+05  1.19149E-12  1.376E-12  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   9.71893E+05  7.94326E-13  1.123E-12  3.97163E-13  7.943E-13  0.00000E+00  0.000E+00
   9.81964E+05  3.97163E-13  7.943E-13  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   9.92036E+05  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   1.00211E+06  7.94326E-13  1.123E-12  3.97163E-13  7.943E-13  0.00000E+00  0.000E+00
   1.01218E+06  3.97163E-13  7.943E-13  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   1.02225E+06  3.97163E-13  7.943E-13  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
