#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT IMPACT DETECTOR - ENERGY SPECTRUM]
# detector number:  1
# Units are 1/(eV*history)
#
# Linear scale
# Energy     min    ,    max    , number of bins
#        0.00000e+00 1.65000e+05    160
#
#             |      Total spectrum     |            electron     |               gamma     |            positron     |
#             |                         |                         |                         |                         |
# Energy (eV) |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |
  4.27969E+04   2.00792E-07   1.835E-08   1.76192E-07   1.835E-08   2.45994E-08   2.288E-10   0.00000E+00   0.000E+00 
  4.38281E+04   2.05602E-07   1.865E-08   1.81863E-07   1.865E-08   2.37391E-08   2.244E-10   0.00000E+00   0.000E+00 
  4.48594E+04   2.17407E-07   1.927E-08   1.94148E-07   1.927E-08   2.32594E-08   2.228E-10   0.00000E+00   0.000E+00 
  4.58906E+04   2.08306E-07   1.885E-08   1.85715E-07   1.885E-08   2.25903E-08   2.194E-10   0.00000E+00   0.000E+00 
  4.69219E+04   2.35701E-07   2.025E-08   2.13837E-07   2.025E-08   2.18639E-08   2.167E-10   0.00000E+00   0.000E+00 
  4.79531E+04   2.25207E-07   1.978E-08   2.03997E-07   1.978E-08   2.12094E-08   2.129E-10   0.00000E+00   0.000E+00 
  4.89844E+04   2.27979E-07   1.994E-08   2.07169E-07   1.994E-08   2.08103E-08   2.113E-10   0.00000E+00   0.000E+00 
  5.00156E+04   2.44306E-07   2.075E-08   2.24019E-07   2.075E-08   2.02867E-08   2.088E-10   0.00000E+00   0.000E+00 
  5.10469E+04   2.46382E-07   2.089E-08   2.26928E-07   2.089E-08   1.94536E-08   2.038E-10   0.00000E+00   0.000E+00 
  5.20781E+04   2.30007E-07   2.015E-08   2.11254E-07   2.015E-08   1.87533E-08   2.000E-10   0.00000E+00   0.000E+00 
  5.31094E+04   2.56709E-07   2.146E-08   2.38377E-07   2.146E-08   1.83327E-08   1.975E-10   0.00000E+00   0.000E+00 
  5.41406E+04   2.70358E-07   2.205E-08   2.52447E-07   2.205E-08   1.79109E-08   1.959E-10   0.00000E+00   0.000E+00 
  5.51719E+04   2.71491E-07   2.213E-08   2.54135E-07   2.213E-08   1.73558E-08   1.922E-10   0.00000E+00   0.000E+00 
  5.62031E+04   2.67291E-07   2.198E-08   2.50636E-07   2.198E-08   1.66548E-08   1.886E-10   0.00000E+00   0.000E+00 
  5.72344E+04   2.72634E-07   2.224E-08   2.56375E-07   2.224E-08   1.62597E-08   1.867E-10   0.00000E+00   0.000E+00 
  5.82656E+04   3.30643E-07   2.276E-08   2.68375E-07   2.276E-08   6.22676E-08   3.143E-10   0.00000E+00   0.000E+00 
  5.92969E+04   3.68200E-07   2.287E-08   2.70705E-07   2.286E-08   9.74955E-08   3.908E-10   0.00000E+00   0.000E+00 
  6.03281E+04   2.86501E-07   2.290E-08   2.71555E-07   2.290E-08   1.49458E-08   1.794E-10   0.00000E+00   0.000E+00 
  6.13594E+04   3.03644E-07   2.365E-08   2.89376E-07   2.365E-08   1.42673E-08   1.752E-10   0.00000E+00   0.000E+00 
  6.23906E+04   3.25923E-07   2.457E-08   3.12021E-07   2.457E-08   1.39021E-08   1.727E-10   0.00000E+00   0.000E+00 
  6.34219E+04   3.33450E-07   2.487E-08   3.19763E-07   2.487E-08   1.36873E-08   1.720E-10   0.00000E+00   0.000E+00 
  6.44531E+04   3.43087E-07   2.527E-08   3.29794E-07   2.526E-08   1.32933E-08   1.692E-10   0.00000E+00   0.000E+00 
  6.54844E+04   3.37065E-07   2.506E-08   3.24364E-07   2.506E-08   1.27006E-08   1.657E-10   0.00000E+00   0.000E+00 
  6.65156E+04   3.71066E-07   2.600E-08   3.48999E-07   2.600E-08   2.20664E-08   1.993E-10   0.00000E+00   0.000E+00 
  6.75469E+04   4.06425E-07   2.697E-08   3.75527E-07   2.697E-08   3.08988E-08   2.268E-10   0.00000E+00   0.000E+00 
  6.85781E+04   3.78018E-07   2.664E-08   3.66216E-07   2.664E-08   1.18018E-08   1.604E-10   0.00000E+00   0.000E+00 
  6.96094E+04   3.89740E-07   2.687E-08   3.71485E-07   2.687E-08   1.82552E-08   1.814E-10   0.00000E+00   0.000E+00 
  7.06406E+04   3.97662E-07   2.741E-08   3.87475E-07   2.740E-08   1.01861E-08   1.468E-10   0.00000E+00   0.000E+00 
  7.16719E+04   4.13344E-07   2.800E-08   4.03468E-07   2.800E-08   9.87606E-09   1.440E-10   0.00000E+00   0.000E+00 
  7.27031E+04   4.17921E-07   2.813E-08   4.08314E-07   2.813E-08   9.60667E-09   1.417E-10   0.00000E+00   0.000E+00 
  7.37344E+04   4.49822E-07   2.921E-08   4.40310E-07   2.921E-08   9.51212E-09   1.415E-10   0.00000E+00   0.000E+00 
  7.47656E+04   4.12297E-07   2.795E-08   4.02976E-07   2.795E-08   9.32061E-09   1.405E-10   0.00000E+00   0.000E+00 
  7.57969E+04   4.50832E-07   2.926E-08   4.41765E-07   2.926E-08   9.06727E-09   1.386E-10   0.00000E+00   0.000E+00 
  7.68281E+04   4.66619E-07   2.979E-08   4.57754E-07   2.979E-08   8.86545E-09   1.371E-10   0.00000E+00   0.000E+00 
  7.78594E+04   4.79444E-07   3.021E-08   4.70845E-07   3.021E-08   8.59848E-09   1.349E-10   0.00000E+00   0.000E+00 
  7.88906E+04   4.68943E-07   2.988E-08   4.60662E-07   2.988E-08   8.28091E-09   1.318E-10   0.00000E+00   0.000E+00 
  7.99219E+04   5.05778E-07   3.105E-08   4.97504E-07   3.105E-08   8.27424E-09   1.324E-10   0.00000E+00   0.000E+00 
  8.09531E+04   4.70532E-07   2.994E-08   4.62595E-07   2.994E-08   7.93697E-09   1.293E-10   0.00000E+00   0.000E+00 
  8.19844E+04   5.23748E-07   3.162E-08   5.15929E-07   3.162E-08   7.81909E-09   1.290E-10   0.00000E+00   0.000E+00 
  8.30156E+04   5.29681E-07   3.182E-08   5.22226E-07   3.181E-08   7.45455E-09   1.250E-10   0.00000E+00   0.000E+00 
  8.40469E+04   5.42645E-07   3.221E-08   5.35314E-07   3.221E-08   7.33061E-09   1.246E-10   0.00000E+00   0.000E+00 
  8.50781E+04   5.64918E-07   3.288E-08   5.57616E-07   3.287E-08   7.30212E-09   1.249E-10   0.00000E+00   0.000E+00 
  8.61094E+04   5.84464E-07   3.346E-08   5.77493E-07   3.346E-08   6.97061E-09   1.221E-10   0.00000E+00   0.000E+00 
  8.71406E+04   6.02762E-07   3.398E-08   5.95918E-07   3.398E-08   6.84485E-09   1.201E-10   0.00000E+00   0.000E+00 
  8.81719E+04   6.20542E-07   3.449E-08   6.13861E-07   3.449E-08   6.68182E-09   1.188E-10   0.00000E+00   0.000E+00 
  8.92031E+04   6.48965E-07   3.529E-08   6.42460E-07   3.529E-08   6.50515E-09   1.174E-10   0.00000E+00   0.000E+00 
