#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING ANGULAR PARTICLES DISTRIBUTION]
# Units are particles/(sr history)
# Polar angle minimum, maximum, polar bins:
#  0.00000E+00  1.80000E+02    90
# Azimuthal angle minimum, maximum, azimuthal bins:
#  0.00000E+00  3.60000E+02    45
#
# theta (deg) :  phi (deg) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   3.00000E+00  2.00000E+01  0.00000E+00  0.000E+00  1.47021E-05  8.488E-06  0.00000E+00  0.000E+00
   3.00000E+00  2.80000E+01  1.97743E-03  3.921E-03  2.08279E-05  1.010E-05  0.00000E+00  0.000E+00
   3.00000E+00  3.60000E+01  3.92055E-03  5.544E-03  1.10266E-05  7.351E-06  0.00000E+00  0.000E+00
   3.00000E+00  4.40000E+01  3.92055E-03  5.544E-03  2.20531E-05  1.040E-05  0.00000E+00  0.000E+00
   3.00000E+00  5.20000E+01  1.97498E-03  3.921E-03  2.20531E-05  1.040E-05  0.00000E+00  0.000E+00
   3.00000E+00  6.00000E+01  1.22517E-06  2.450E-06  2.08279E-05  1.010E-05  0.00000E+00  0.000E+00
   3.00000E+00  6.80000E+01  5.88573E-03  6.791E-03  2.08279E-05  1.010E-05  0.00000E+00  0.000E+00
   3.00000E+00  7.60000E+01  3.92668E-03  5.545E-03  2.57286E-05  1.123E-05  0.00000E+00  0.000E+00
   3.00000E+00  8.40000E+01  1.96763E-03  3.921E-03  2.08279E-05  1.010E-05  0.00000E+00  0.000E+00
   3.00000E+00  9.20000E+01  3.93158E-03  5.545E-03  2.45034E-05  1.096E-05  0.00000E+00  0.000E+00
   3.00000E+00  1.00000E+02  3.92055E-03  5.544E-03  1.96028E-05  9.801E-06  0.00000E+00  0.000E+00
   3.00000E+00  1.08000E+02  1.96518E-03  3.921E-03  1.96028E-05  1.040E-05  0.00000E+00  0.000E+00
   3.00000E+00  1.16000E+02  9.80260E-03  8.767E-03  3.92055E-05  1.386E-05  0.00000E+00  0.000E+00
   3.00000E+00  1.24000E+02  5.88205E-03  6.791E-03  2.81790E-05  1.175E-05  0.00000E+00  0.000E+00
   3.00000E+00  1.32000E+02  1.96150E-03  3.921E-03  2.32783E-05  1.068E-05  0.00000E+00  0.000E+00
   3.00000E+00  1.40000E+02  1.96150E-03  3.921E-03  2.20531E-05  1.040E-05  0.00000E+00  0.000E+00
   3.00000E+00  1.48000E+02  7.85581E-03  7.841E-03  1.34769E-05  8.127E-06  0.00000E+00  0.000E+00
   3.00000E+00  1.56000E+02  1.97498E-03  3.921E-03  2.20531E-05  1.040E-05  0.00000E+00  0.000E+00
   3.00000E+00  1.64000E+02  9.80260E-03  8.767E-03  1.83776E-05  9.490E-06  0.00000E+00  0.000E+00
   3.00000E+00  1.72000E+02  5.88573E-03  6.791E-03  1.59272E-05  8.835E-06  0.00000E+00  0.000E+00
   3.00000E+00  1.80000E+02  3.93158E-03  5.545E-03  2.69538E-05  1.149E-05  0.00000E+00  0.000E+00
   3.00000E+00  1.88000E+02  3.92300E-03  5.544E-03  2.08279E-05  1.068E-05  0.00000E+00  0.000E+00
   3.00000E+00  1.96000E+02  1.96518E-03  3.921E-03  2.69538E-05  1.149E-05  0.00000E+00  0.000E+00
   3.00000E+00  2.04000E+02  1.97498E-03  3.921E-03  2.45034E-05  1.096E-05  0.00000E+00  0.000E+00
   3.00000E+00  2.12000E+02  9.80138E-06  1.386E-05  1.71524E-05  9.168E-06  0.00000E+00  0.000E+00
   3.00000E+00  2.20000E+02  4.90069E-06  9.801E-06  1.96028E-05  9.801E-06  0.00000E+00  0.000E+00
   3.00000E+00  2.28000E+02  1.96150E-03  3.921E-03  1.83776E-05  9.490E-06  0.00000E+00  0.000E+00
   3.00000E+00  2.36000E+02  1.17727E-02  9.603E-03  2.08279E-05  1.010E-05  0.00000E+00  0.000E+00
   3.00000E+00  2.44000E+02  5.89553E-03  6.791E-03  1.83776E-05  9.490E-06  0.00000E+00  0.000E+00
   3.00000E+00  2.52000E+02  1.37268E-02  1.037E-02  2.32783E-05  1.068E-05  0.00000E+00  0.000E+00
   3.00000E+00  2.60000E+02  1.96028E-03  3.921E-03  2.32783E-05  1.068E-05  0.00000E+00  0.000E+00
   3.00000E+00  2.68000E+02  7.84600E-03  7.841E-03  2.45034E-05  1.096E-05  0.00000E+00  0.000E+00
   3.00000E+00  2.76000E+02  5.89185E-03  6.791E-03  2.57286E-05  1.175E-05  0.00000E+00  0.000E+00
   3.00000E+00  2.84000E+02  7.84110E-03  7.841E-03  1.71524E-05  9.168E-06  0.00000E+00  0.000E+00
   3.00000E+00  2.92000E+02  5.88573E-03  6.791E-03  2.69538E-05  1.149E-05  0.00000E+00  0.000E+00
   3.00000E+00  3.00000E+02  9.80750E-03  8.767E-03  1.47021E-05  8.488E-06  0.00000E+00  0.000E+00
   3.00000E+00  3.08000E+02  1.96273E-03  3.921E-03  2.94041E-05  1.200E-05  0.00000E+00  0.000E+00
   3.00000E+00  3.16000E+02  1.96028E-03  3.921E-03  1.83776E-05  9.490E-06  0.00000E+00  0.000E+00
   3.00000E+00  3.24000E+02  1.17666E-02  9.603E-03  3.30797E-05  1.273E-05  0.00000E+00  0.000E+00
   3.00000E+00  3.32000E+02  1.97130E-03  3.921E-03  2.20531E-05  1.040E-05  0.00000E+00  0.000E+00
   3.00000E+00  3.40000E+02  1.96150E-03  3.921E-03  1.34769E-05  8.127E-06  0.00000E+00  0.000E+00
   3.00000E+00  3.48000E+02  1.96150E-03  3.921E-03  1.22517E-05  7.749E-06  0.00000E+00  0.000E+00
   3.00000E+00  3.56000E+02  7.84600E-03  7.841E-03  1.22517E-05  7.749E-06  0.00000E+00  0.000E+00

   5.00000E+00  4.00000E+00  4.70849E-03  4.708E-03  1.47140E-05  6.580E-06  0.00000E+00  0.000E+00
   5.00000E+00  1.20000E+01  6.62131E-06  8.453E-06  1.32426E-05  6.243E-06  0.00000E+00  0.000E+00
   5.00000E+00  2.00000E+01  8.24353E-03  6.229E-03  1.54497E-05  6.743E-06  0.00000E+00  0.000E+00
   5.00000E+00  2.80000E+01  3.53136E-03  4.078E-03  1.76568E-05  7.503E-06  0.00000E+00  0.000E+00
   5.00000E+00  3.60000E+01  3.53210E-03  4.078E-03  1.76568E-05  7.503E-06  0.00000E+00  0.000E+00
   5.00000E+00  4.40000E+01  2.36013E-03  3.329E-03  1.61854E-05  6.901E-06  0.00000E+00  0.000E+00
   5.00000E+00  5.20000E+01  3.53284E-03  4.078E-03  1.91282E-05  7.503E-06  0.00000E+00  0.000E+00
   5.00000E+00  6.00000E+01  4.70922E-03  4.708E-03  1.98639E-05  7.646E-06  0.00000E+00  0.000E+00
   5.00000E+00  6.80000E+01  4.71658E-03  4.708E-03  1.54497E-05  6.743E-06  0.00000E+00  0.000E+00
   5.00000E+00  7.60000E+01  1.18006E-03  2.354E-03  1.61854E-05  6.901E-06  0.00000E+00  0.000E+00
   5.00000E+00  8.40000E+01  4.71731E-03  4.708E-03  2.35424E-05  8.323E-06  0.00000E+00  0.000E+00
   5.00000E+00  9.20000E+01  1.18227E-03  2.354E-03  1.61854E-05  6.901E-06  0.00000E+00  0.000E+00
   5.00000E+00  1.00000E+02  2.35939E-03  3.329E-03  2.13353E-05  7.924E-06  0.00000E+00  0.000E+00
   5.00000E+00  1.08000E+02  1.18448E-03  2.354E-03  2.05996E-05  7.786E-06  0.00000E+00  0.000E+00
   5.00000E+00  1.16000E+02  3.53872E-03  4.078E-03  1.69211E-05  7.057E-06  0.00000E+00  0.000E+00
   5.00000E+00  1.24000E+02  4.71290E-03  4.708E-03  2.28067E-05  8.192E-06  0.00000E+00  0.000E+00
   5.00000E+00  1.32000E+02  9.42359E-03  6.659E-03  2.72209E-05  9.189E-06  0.00000E+00  0.000E+00
   5.00000E+00  1.40000E+02  3.53504E-03  4.078E-03  1.69211E-05  7.057E-06  0.00000E+00  0.000E+00
   5.00000E+00  1.48000E+02  3.53210E-03  4.078E-03  1.76568E-05  7.208E-06  0.00000E+00  0.000E+00
   5.00000E+00  1.56000E+02  9.42433E-03  6.659E-03  2.64852E-05  1.019E-05  0.00000E+00  0.000E+00
   5.00000E+00  1.64000E+02  2.36381E-03  3.329E-03  2.86923E-05  9.189E-06  0.00000E+00  0.000E+00
   5.00000E+00  1.72000E+02  7.06935E-03  5.767E-03  2.20710E-05  8.059E-06  0.00000E+00  0.000E+00
   5.00000E+00  1.80000E+02  3.53799E-03  4.078E-03  2.72209E-05  8.950E-06  0.00000E+00  0.000E+00
   5.00000E+00  1.88000E+02  3.53725E-03  4.078E-03  2.28067E-05  8.192E-06  0.00000E+00  0.000E+00
   5.00000E+00  1.96000E+02  1.18080E-03  2.354E-03  2.94280E-05  9.536E-06  0.00000E+00  0.000E+00
   5.00000E+00  2.04000E+02  1.18301E-03  2.354E-03  2.79566E-05  9.306E-06  0.00000E+00  0.000E+00
   5.00000E+00  2.12000E+02  4.71290E-03  4.708E-03  2.28067E-05  8.192E-06  0.00000E+00  0.000E+00
   5.00000E+00  2.20000E+02  4.71290E-03  4.708E-03  2.50138E-05  8.580E-06  0.00000E+00  0.000E+00
   5.00000E+00  2.28000E+02  5.89076E-03  5.264E-03  3.23708E-05  9.760E-06  0.00000E+00  0.000E+00
   5.00000E+00  2.36000E+02  2.35866E-03  3.329E-03  2.42781E-05  8.705E-06  0.00000E+00  0.000E+00
   5.00000E+00  2.44000E+02  1.18227E-03  2.354E-03  1.91282E-05  7.503E-06  0.00000E+00  0.000E+00
   5.00000E+00  2.52000E+02  3.53799E-03  4.078E-03  2.35424E-05  8.323E-06  0.00000E+00  0.000E+00
   5.00000E+00  2.60000E+02  5.89370E-03  5.264E-03  1.91282E-05  7.503E-06  0.00000E+00  0.000E+00
   5.00000E+00  2.68000E+02  2.35645E-03  3.329E-03  2.79566E-05  9.070E-06  0.00000E+00  0.000E+00
   5.00000E+00  2.76000E+02  3.53799E-03  4.078E-03  2.28067E-05  8.192E-06  0.00000E+00  0.000E+00
   5.00000E+00  2.84000E+02  3.53210E-03  4.078E-03  1.61854E-05  6.901E-06  0.00000E+00  0.000E+00
   5.00000E+00  2.92000E+02  9.41918E-03  6.659E-03  1.61854E-05  6.901E-06  0.00000E+00  0.000E+00
   5.00000E+00  3.00000E+02  4.70996E-03  4.708E-03  1.83925E-05  7.357E-06  0.00000E+00  0.000E+00
   5.00000E+00  3.08000E+02  4.71216E-03  4.708E-03  2.72209E-05  8.950E-06  0.00000E+00  0.000E+00
   5.00000E+00  3.16000E+02  4.71731E-03  4.708E-03  1.47140E-05  6.580E-06  0.00000E+00  0.000E+00
   5.00000E+00  3.24000E+02  4.71143E-03  4.708E-03  1.91282E-05  7.503E-06  0.00000E+00  0.000E+00
