#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING POLAR PARTICLES DISTRIBUTION]
# Units are particles/(sr history)
#
# Polar angle minimum, maximum, polar bins:
#  0.00000E+00  1.80000E+02    90
#
# theta (deg) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   1.11000E+02  6.10857E-02  7.669E-04  9.74947E-04  2.087E-06  0.00000E+00  0.000E+00
   1.13000E+02  6.35981E-02  7.880E-04  9.98003E-04  2.122E-06  0.00000E+00  0.000E+00
   1.15000E+02  6.61519E-02  8.098E-04  1.02771E-03  2.163E-06  0.00000E+00  0.000E+00
   1.17000E+02  7.02930E-02  8.417E-04  1.05182E-03  2.200E-06  0.00000E+00  0.000E+00
   1.19000E+02  7.25530E-02  8.629E-04  1.08098E-03  2.248E-06  0.00000E+00  0.000E+00
   1.21000E+02  7.64790E-02  8.948E-04  1.11095E-03  2.298E-06  0.00000E+00  0.000E+00
   1.23000E+02  7.96709E-02  9.231E-04  1.14556E-03  2.353E-06  0.00000E+00  0.000E+00
   1.25000E+02  8.34882E-02  9.561E-04  1.17765E-03  2.410E-06  0.00000E+00  0.000E+00
   1.27000E+02  8.63167E-02  9.844E-04  1.21547E-03  2.475E-06  0.00000E+00  0.000E+00
   1.29000E+02  9.02917E-02  1.021E-03  1.26007E-03  2.548E-06  0.00000E+00  0.000E+00
   1.31000E+02  9.26144E-02  1.049E-03  1.30771E-03  2.628E-06  0.00000E+00  0.000E+00
   1.33000E+02  9.67111E-02  1.089E-03  1.36647E-03  2.717E-06  0.00000E+00  0.000E+00
   1.35000E+02  1.01783E-01  1.136E-03  1.45339E-03  2.831E-06  0.00000E+00  0.000E+00
   1.37000E+02  1.07996E-01  1.191E-03  1.53910E-03  2.946E-06  0.00000E+00  0.000E+00
   1.39000E+02  1.12290E-01  1.238E-03  1.59404E-03  3.059E-06  0.00000E+00  0.000E+00
   1.41000E+02  1.19945E-01  1.306E-03  1.63389E-03  3.175E-06  0.00000E+00  0.000E+00
   1.43000E+02  7.04611E-02  1.028E-03  1.49430E-03  3.198E-06  0.00000E+00  0.000E+00
   1.45000E+02  3.58617E-04  7.541E-05  1.12757E-03  3.002E-06  0.00000E+00  0.000E+00
   1.47000E+02  3.60697E-04  7.764E-05  1.14424E-03  3.117E-06  0.00000E+00  0.000E+00
   1.49000E+02  3.63680E-04  8.017E-05  6.12635E-04  2.481E-06  0.00000E+00  0.000E+00
   1.51000E+02  3.10992E-04  7.641E-05  9.46976E-06  3.369E-07  0.00000E+00  0.000E+00
   1.53000E+02  3.11975E-04  7.908E-05  8.69710E-06  3.348E-07  0.00000E+00  0.000E+00
   1.55000E+02  3.18873E-04  8.287E-05  7.62320E-06  3.237E-07  0.00000E+00  0.000E+00
