#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING UPBOUND PARTICLES DISTRIBUTION]
# Units are particles/(eV history)
# Energy window (eV), energy bins:
#  0.00000E+00  1.65000E+05   160
#
# Energy (eV) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   5.72344E+04  3.97589E-07  2.775E-08  1.85067E-08  1.991E-10  0.00000E+00  0.000E+00
   5.82656E+04  3.61138E-07  2.644E-08  6.18388E-08  3.187E-10  0.00000E+00  0.000E+00
   5.92969E+04  3.92608E-07  2.758E-08  9.51239E-08  3.902E-10  0.00000E+00  0.000E+00
   6.03281E+04  4.05134E-07  2.801E-08  1.68585E-08  1.912E-10  0.00000E+00  0.000E+00
   6.13594E+04  3.78002E-07  2.706E-08  1.63800E-08  1.884E-10  0.00000E+00  0.000E+00
   6.23906E+04  3.80872E-07  2.716E-08  1.59852E-08  1.866E-10  0.00000E+00  0.000E+00
   6.34219E+04  4.11827E-07  2.825E-08  1.56839E-08  1.842E-10  0.00000E+00  0.000E+00
   6.44531E+04  4.00163E-07  2.785E-08  1.51997E-08  1.816E-10  0.00000E+00  0.000E+00
   6.54844E+04  4.27280E-07  2.878E-08  1.46433E-08  1.786E-10  0.00000E+00  0.000E+00
   6.65156E+04  4.18044E-07  2.846E-08  2.35812E-08  2.101E-10  0.00000E+00  0.000E+00
   6.75469E+04  4.39821E-07  2.920E-08  3.19921E-08  2.351E-10  0.00000E+00  0.000E+00
   6.85781E+04  4.32537E-07  2.895E-08  1.36867E-08  1.734E-10  0.00000E+00  0.000E+00
   6.96094E+04  4.49005E-07  2.950E-08  1.88000E-08  1.854E-10  0.00000E+00  0.000E+00
   7.06406E+04  4.39793E-07  2.920E-08  1.01491E-08  1.451E-10  0.00000E+00  0.000E+00
   7.16719E+04  4.61611E-07  2.991E-08  9.97515E-09  1.439E-10  0.00000E+00  0.000E+00
   7.27031E+04  4.59669E-07  2.985E-08  9.82848E-09  1.422E-10  0.00000E+00  0.000E+00
   7.37344E+04  4.76640E-07  3.040E-08  9.59455E-09  1.412E-10  0.00000E+00  0.000E+00
   7.47656E+04  4.79550E-07  3.049E-08  9.48182E-09  1.412E-10  0.00000E+00  0.000E+00
   7.57969E+04  4.82945E-07  3.060E-08  9.13758E-09  1.374E-10  0.00000E+00  0.000E+00
   7.68281E+04  4.83424E-07  3.061E-08  9.01576E-09  1.369E-10  0.00000E+00  0.000E+00
   7.78594E+04  5.09601E-07  3.143E-08  8.80424E-09  1.358E-10  0.00000E+00  0.000E+00
   7.88906E+04  5.14452E-07  3.158E-08  8.66576E-09  1.348E-10  0.00000E+00  0.000E+00
   7.99219E+04  4.91176E-07  3.086E-08  8.34939E-09  1.321E-10  0.00000E+00  0.000E+00
   8.09531E+04  5.13478E-07  3.155E-08  8.27394E-09  1.315E-10  0.00000E+00  0.000E+00
   8.19844E+04  5.35295E-07  3.221E-08  7.96061E-09  1.295E-10  0.00000E+00  0.000E+00
   8.30156E+04  5.41114E-07  3.239E-08  7.68455E-09  1.266E-10  0.00000E+00  0.000E+00
   8.40469E+04  5.24139E-07  3.187E-08  7.42333E-09  1.239E-10  0.00000E+00  0.000E+00
   8.50781E+04  5.28989E-07  3.202E-08  7.41091E-09  1.244E-10  0.00000E+00  0.000E+00
   8.61094E+04  5.57596E-07  3.287E-08  7.15000E-09  1.231E-10  0.00000E+00  0.000E+00
   8.71406E+04  5.56143E-07  3.283E-08  6.94970E-09  1.207E-10  0.00000E+00  0.000E+00
   8.81719E+04  5.59536E-07  3.293E-08  6.81758E-09  1.190E-10  0.00000E+00  0.000E+00
   8.92031E+04  5.73108E-07  3.333E-08  6.58606E-09  1.178E-10  0.00000E+00  0.000E+00
   9.02344E+04  5.72626E-07  3.331E-08  6.42303E-09  1.160E-10  0.00000E+00  0.000E+00
   9.12656E+04  5.68744E-07  3.320E-08  6.28091E-09  1.149E-10  0.00000E+00  0.000E+00
   9.22969E+04  5.60501E-07  3.296E-08  6.12576E-09  1.137E-10  0.00000E+00  0.000E+00
   9.33281E+04  5.79406E-07  3.351E-08  6.00818E-09  1.127E-10  0.00000E+00  0.000E+00
   9.43594E+04  5.92014E-07  3.387E-08  5.80455E-09  1.113E-10  0.00000E+00  0.000E+00
   9.53906E+04  6.10923E-07  3.441E-08  5.63030E-09  1.084E-10  0.00000E+00  0.000E+00
   9.64219E+04  6.04620E-07  3.423E-08  5.50576E-09  1.078E-10  0.00000E+00  0.000E+00
   9.74531E+04  6.36132E-07  3.511E-08  5.34485E-09  1.066E-10  0.00000E+00  0.000E+00
   9.84844E+04  6.37101E-07  3.514E-08  5.21879E-09  1.046E-10  0.00000E+00  0.000E+00
   9.95156E+04  6.60372E-07  3.577E-08  5.08091E-09  1.039E-10  0.00000E+00  0.000E+00
   1.00547E+05  6.35645E-07  3.510E-08  5.01606E-09  1.033E-10  0.00000E+00  0.000E+00
   1.01578E+05  6.60860E-07  3.579E-08  4.72545E-09  1.002E-10  0.00000E+00  0.000E+00
   1.02609E+05  6.54556E-07  3.562E-08  4.62030E-09  9.876E-11  0.00000E+00  0.000E+00
   1.03641E+05  6.60372E-07  3.577E-08  4.49242E-09  9.746E-11  0.00000E+00  0.000E+00
   1.04672E+05  6.76856E-07  3.622E-08  4.40576E-09  9.659E-11  0.00000E+00  0.000E+00
   1.05703E+05  6.95766E-07  3.672E-08  4.34606E-09  9.716E-11  0.00000E+00  0.000E+00
   1.06734E+05  7.04489E-07  3.695E-08  4.06970E-09  9.357E-11  0.00000E+00  0.000E+00
