#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING ANGULAR PARTICLES DISTRIBUTION]
# Units are particles/(sr history)
# Polar angle minimum, maximum, polar bins:
#  0.00000E+00  1.80000E+02    45
# Azimuthal angle minimum, maximum, azimuthal bins:
#  0.00000E+00  3.60000E+02    24
#
# theta (deg) :  phi (deg) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   2.00000E+00  7.50000E+00  1.51352E-04  2.873E-05  7.35707E-02  1.154E-03  2.72706E-06  3.857E-06
   2.00000E+00  2.25000E+01  1.24081E-04  2.601E-05  7.33062E-02  1.157E-03  5.45413E-06  5.454E-06
   2.00000E+00  3.75000E+01  1.26808E-04  2.630E-05  7.29435E-02  1.153E-03  2.72706E-06  3.857E-06
   2.00000E+00  5.25000E+01  1.59533E-04  2.950E-05  7.30744E-02  1.152E-03  1.36353E-06  2.727E-06
   2.00000E+00  6.75000E+01  1.88167E-04  3.203E-05  7.30212E-02  1.145E-03  1.36353E-06  2.727E-06
   2.00000E+00  8.25000E+01  1.56806E-04  2.924E-05  7.38721E-02  1.163E-03  0.00000E+00  0.000E+00
   2.00000E+00  9.75000E+01  1.43171E-04  2.794E-05  7.34726E-02  1.156E-03  2.72706E-06  3.857E-06
   2.00000E+00  1.12500E+02  1.37717E-04  2.741E-05  7.30281E-02  1.149E-03  1.36353E-06  2.727E-06
   2.00000E+00  1.27500E+02  1.40444E-04  2.768E-05  7.25331E-02  1.144E-03  2.72706E-06  3.857E-06
   2.00000E+00  1.42500E+02  1.40444E-04  2.768E-05  7.25617E-02  1.148E-03  1.36353E-06  2.727E-06
   2.00000E+00  1.57500E+02  1.71805E-04  3.061E-05  7.40125E-02  1.157E-03  1.36353E-06  2.727E-06
   2.00000E+00  1.72500E+02  1.40444E-04  2.768E-05  7.31808E-02  1.147E-03  1.36353E-06  2.727E-06
   2.00000E+00  1.87500E+02  1.28172E-04  2.644E-05  7.25767E-02  1.134E-03  8.18119E-06  6.680E-06
   2.00000E+00  2.02500E+02  1.37717E-04  2.741E-05  7.30362E-02  1.145E-03  2.72706E-06  3.857E-06
   2.00000E+00  2.17500E+02  1.51352E-04  2.873E-05  7.32639E-02  1.147E-03  2.72706E-06  3.857E-06
   2.00000E+00  2.32500E+02  1.41807E-04  2.781E-05  7.30458E-02  1.142E-03  5.45413E-06  5.454E-06
   2.00000E+00  2.47500E+02  1.58170E-04  2.937E-05  7.38557E-02  1.154E-03  2.72706E-06  3.857E-06
   2.00000E+00  2.62500E+02  1.48625E-04  2.847E-05  7.26926E-02  1.140E-03  1.36353E-06  2.727E-06
   2.00000E+00  2.77500E+02  1.17264E-04  2.529E-05  7.27731E-02  1.146E-03  2.72706E-06  3.857E-06
   2.00000E+00  2.92500E+02  1.52716E-04  2.886E-05  7.35435E-02  1.154E-03  4.09060E-06  4.723E-06
   2.00000E+00  3.07500E+02  1.39080E-04  2.754E-05  7.31099E-02  1.152E-03  1.36353E-06  2.727E-06
   2.00000E+00  3.22500E+02  1.36353E-04  2.727E-05  7.40193E-02  1.161E-03  4.09060E-06  4.723E-06
   2.00000E+00  3.37500E+02  1.60897E-04  2.962E-05  7.36648E-02  1.163E-03  1.36353E-06  2.727E-06
   2.00000E+00  3.52500E+02  1.54079E-04  2.899E-05  7.25290E-02  1.142E-03  1.36353E-06  2.727E-06

   6.00000E+00  7.50000E+00  1.34754E-04  1.566E-05  6.14100E-02  6.338E-04  3.64200E-06  2.575E-06
   6.00000E+00  2.25000E+01  1.38396E-04  1.587E-05  6.15280E-02  6.341E-04  4.55250E-07  9.105E-07
   6.00000E+00  3.75000E+01  1.31112E-04  1.545E-05  6.08537E-02  6.323E-04  4.55250E-07  9.105E-07
   6.00000E+00  5.25000E+01  1.36621E-04  1.577E-05  6.04372E-02  6.245E-04  1.82100E-06  1.821E-06
   6.00000E+00  6.75000E+01  1.24283E-04  1.504E-05  6.08583E-02  6.314E-04  0.00000E+00  0.000E+00
   6.00000E+00  8.25000E+01  1.53419E-04  1.676E-05  6.10824E-02  6.346E-04  2.73150E-06  2.230E-06
   6.00000E+00  9.75000E+01  1.42949E-04  1.618E-05  6.09270E-02  6.338E-04  2.27625E-06  2.036E-06
   6.00000E+00  1.12500E+02  1.47046E-04  1.636E-05  6.00252E-02  6.221E-04  3.64200E-06  2.575E-06
   6.00000E+00  1.27500E+02  1.30202E-04  1.540E-05  6.10827E-02  6.298E-04  2.73150E-06  2.230E-06
   6.00000E+00  1.42500E+02  1.41173E-04  1.603E-05  6.09280E-02  6.307E-04  2.27625E-06  2.036E-06
   6.00000E+00  1.57500E+02  1.45225E-04  1.626E-05  6.11970E-02  6.320E-04  1.36575E-06  1.577E-06
   6.00000E+00  1.72500E+02  1.35209E-04  1.569E-05  6.12216E-02  6.372E-04  1.36575E-06  1.577E-06
   6.00000E+00  1.87500E+02  1.51189E-04  1.659E-05  6.11611E-02  6.348E-04  1.82100E-06  1.821E-06
   6.00000E+00  2.02500E+02  1.52509E-04  1.666E-05  6.06493E-02  6.254E-04  3.64200E-06  2.575E-06
   6.00000E+00  2.17500E+02  1.26560E-04  1.523E-05  6.12011E-02  6.319E-04  9.10500E-07  1.288E-06
   6.00000E+00  2.32500E+02  1.25194E-04  1.510E-05  6.12015E-02  6.336E-04  9.10500E-07  1.288E-06
   6.00000E+00  2.47500E+02  1.52964E-04  1.669E-05  6.12466E-02  6.330E-04  3.18675E-06  2.409E-06
   6.00000E+00  2.62500E+02  1.27925E-04  1.526E-05  6.12002E-02  6.312E-04  4.55250E-07  9.105E-07
