#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING DOWNBOUND PARTICLES DISTRIBUTION]
# Units are particles/(eV history)
# Energy minimum, maximum, energy bins:
#  0.00000E+00  7.10000E+06   140
#
# Energy (eV) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   2.81464E+06  1.02878E-13  8.400E-14  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.86536E+06  1.02878E-13  8.400E-14  0.00000E+00  0.000E+00  1.71464E-14  3.429E-14
   2.91607E+06  8.57318E-14  7.668E-14  1.71464E-14  3.429E-14  1.71464E-14  3.429E-14
   2.96679E+06  3.42927E-14  4.850E-14  1.71464E-14  3.429E-14  1.71464E-14  3.429E-14
   3.01750E+06  6.85855E-14  6.859E-14  1.71464E-14  3.429E-14  1.71464E-14  3.429E-14
   3.06821E+06  1.71464E-14  3.429E-14  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.11893E+06  1.71464E-14  3.429E-14  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.16964E+06  3.42927E-14  4.850E-14  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.22036E+06  1.71464E-14  3.429E-14  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.27107E+06  3.42927E-14  4.850E-14  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.32179E+06  5.14391E-14  5.940E-14  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.37250E+06  3.42927E-14  4.850E-14  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.42321E+06  1.71464E-14  3.429E-14  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.47393E+06  1.71464E-14  3.429E-14  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.52464E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  1.71464E-14  3.429E-14
   3.57536E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.62607E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.67679E+06  1.71464E-14  3.429E-14  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.72750E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.77821E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.82893E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.87964E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.93036E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.98107E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   4.03179E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   4.08250E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   4.13321E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   4.18393E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   4.23464E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   4.28536E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   4.33607E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   4.38679E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   4.43750E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
