#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING UPBOUND PARTICLES DISTRIBUTION]
# Units are particles/(eV history)
# Energy window (eV), energy bins:
#  0.00000E+00  7.10000E+06   140
#
# Energy (eV) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   2.81464E+06  1.71121E-11  1.296E-12  2.13921E-09  3.432E-11  4.62952E-13  2.589E-13
   2.86536E+06  1.52431E-11  1.136E-12  2.03423E-09  3.361E-11  4.28659E-13  3.677E-13
   2.91607E+06  1.49688E-11  1.135E-12  2.00093E-09  3.367E-11  1.54317E-13  1.029E-13
   2.96679E+06  1.35456E-11  1.106E-12  1.91645E-09  3.307E-11  1.02878E-13  8.400E-14
   3.01750E+06  1.37514E-11  1.121E-12  1.87916E-09  3.327E-11  5.31537E-13  4.981E-13
   3.06821E+06  1.18824E-11  9.619E-13  1.82444E-09  3.295E-11  1.88610E-13  1.137E-13
   3.11893E+06  1.11280E-11  8.748E-13  1.77587E-09  3.288E-11  1.54317E-13  1.029E-13
   3.16964E+06  1.14023E-11  1.055E-12  1.70341E-09  3.233E-11  1.20025E-13  9.073E-14
   3.22036E+06  1.03564E-11  1.054E-12  1.64372E-09  3.203E-11  1.71464E-13  1.084E-13
   3.27107E+06  1.02707E-11  9.066E-13  1.60428E-09  3.176E-11  8.57318E-14  7.668E-14
   3.32179E+06  9.05328E-12  7.879E-13  1.52471E-09  3.108E-11  1.20025E-13  9.073E-14
   3.37250E+06  9.32762E-12  9.226E-13  1.50375E-09  3.138E-11  1.02878E-13  8.400E-14
   3.42321E+06  9.17330E-12  8.681E-13  1.46709E-09  3.104E-11  2.40049E-13  3.180E-13
   3.47393E+06  8.11023E-12  7.457E-13  1.41116E-09  3.086E-11  8.57318E-14  7.668E-14
   3.52464E+06  7.04716E-12  7.767E-13  1.39084E-09  3.092E-11  5.14391E-14  5.940E-14
   3.57536E+06  7.39008E-12  7.931E-13  1.31101E-09  3.005E-11  6.85855E-14  6.859E-14
   3.62607E+06  6.51562E-12  6.789E-13  1.28063E-09  2.973E-11  3.42927E-14  4.850E-14
   3.67679E+06  5.70974E-12  6.918E-13  1.23485E-09  2.933E-11  3.42927E-14  4.850E-14
   3.72750E+06  6.12125E-12  6.867E-13  1.22734E-09  2.976E-11  1.71464E-14  3.429E-14
   3.77821E+06  5.22964E-12  6.008E-13  1.17785E-09  2.921E-11  5.14391E-14  5.940E-14
   3.82893E+06  5.00674E-12  6.542E-13  1.14596E-09  2.890E-11  5.14391E-14  5.940E-14
   3.87964E+06  4.64666E-12  6.515E-13  1.14869E-09  2.943E-11  1.71464E-14  3.429E-14
   3.93036E+06  4.74954E-12  7.069E-13  1.07911E-09  2.840E-11  1.71464E-14  3.429E-14
   3.98107E+06  4.11513E-12  5.334E-13  1.03113E-09  2.813E-11  1.71464E-14  3.429E-14
   4.03179E+06  3.53215E-12  5.900E-13  1.02511E-09  2.816E-11  3.42927E-14  4.850E-14
   4.08250E+06  3.56644E-12  4.946E-13  9.83601E-10  2.791E-11  1.71464E-14  3.429E-14
   4.13321E+06  3.34354E-12  4.789E-13  9.59631E-10  2.765E-11  5.14391E-14  5.940E-14
   4.18393E+06  2.91488E-12  4.523E-13  8.93223E-10  2.664E-11  1.71464E-14  3.429E-14
   4.23464E+06  3.05205E-12  6.488E-13  8.80980E-10  2.640E-11  0.00000E+00  0.000E+00
   4.28536E+06  2.70913E-12  4.338E-13  8.65634E-10  2.663E-11  1.71464E-14  3.429E-14
   4.33607E+06  2.33191E-12  4.028E-13  8.60233E-10  2.684E-11  0.00000E+00  0.000E+00
   4.38679E+06  2.28047E-12  3.984E-13  8.07679E-10  2.583E-11  0.00000E+00  0.000E+00
   4.43750E+06  1.86895E-12  3.580E-13  8.03513E-10  2.589E-11  0.00000E+00  0.000E+00
   4.48821E+06  1.56032E-12  3.271E-13  7.58212E-10  2.528E-11  0.00000E+00  0.000E+00
   4.53893E+06  1.59461E-12  3.307E-13  7.31361E-10  2.498E-11  0.00000E+00  0.000E+00
   4.58964E+06  1.47459E-12  3.180E-13  7.17318E-10  2.491E-11  0.00000E+00  0.000E+00
   4.64036E+06  1.25168E-12  2.970E-13  6.64456E-10  2.408E-11  0.00000E+00  0.000E+00
   4.69107E+06  9.08757E-13  2.543E-13  6.63153E-10  2.416E-11  0.00000E+00  0.000E+00
   4.74179E+06  1.09737E-12  2.743E-13  6.40314E-10  2.390E-11  0.00000E+00  0.000E+00
   4.79250E+06  8.57318E-13  2.425E-13  6.09210E-10  2.343E-11  0.00000E+00  0.000E+00
   4.84321E+06  6.68708E-13  2.142E-13  5.95665E-10  2.313E-11  0.00000E+00  0.000E+00
   4.89393E+06  5.31537E-13  1.909E-13  5.61252E-10  2.257E-11  0.00000E+00  0.000E+00
   4.94464E+06  4.80098E-13  1.815E-13  5.30611E-10  2.212E-11  0.00000E+00  0.000E+00
   4.99536E+06  5.48684E-13  1.940E-13  5.27508E-10  2.218E-11  0.00000E+00  0.000E+00
   5.04607E+06  2.05756E-13  1.188E-13  4.89906E-10  2.129E-11  0.00000E+00  0.000E+00
   5.09679E+06  3.42927E-13  1.534E-13  4.74526E-10  2.126E-11  0.00000E+00  0.000E+00
   5.14750E+06  1.88610E-13  1.137E-13  4.51944E-10  2.111E-11  0.00000E+00  0.000E+00
   5.19821E+06  2.40049E-13  1.283E-13  4.39924E-10  2.072E-11  0.00000E+00  0.000E+00
   5.24893E+06  2.40049E-13  1.283E-13  4.22606E-10  2.038E-11  0.00000E+00  0.000E+00
   5.29964E+06  1.88610E-13  1.137E-13  3.78146E-10  1.919E-11  0.00000E+00  0.000E+00
   5.35036E+06  1.02878E-13  8.400E-14  3.60348E-10  1.901E-11  0.00000E+00  0.000E+00
   5.40107E+06  1.20025E-13  9.073E-14  3.54758E-10  1.899E-11  0.00000E+00  0.000E+00
   5.45179E+06  5.14391E-14  5.940E-14  3.07503E-10  1.772E-11  0.00000E+00  0.000E+00
   5.50250E+06  3.42927E-14  4.850E-14  2.85847E-10  1.707E-11  0.00000E+00  0.000E+00
   5.55321E+06  0.00000E+00  0.000E+00  2.77805E-10  1.699E-11  0.00000E+00  0.000E+00
   5.60393E+06  1.71464E-14  3.429E-14  2.56201E-10  1.657E-11  0.00000E+00  0.000E+00
   5.65464E+06  0.00000E+00  0.000E+00  2.23880E-10  1.548E-11  0.00000E+00  0.000E+00
   5.70536E+06  0.00000E+00  0.000E+00  2.03047E-10  1.479E-11  0.00000E+00  0.000E+00
   5.75607E+06  0.00000E+00  0.000E+00  1.75373E-10  1.380E-11  0.00000E+00  0.000E+00
   5.80679E+06  0.00000E+00  0.000E+00  1.44921E-10  1.255E-11  0.00000E+00  0.000E+00
   5.85750E+06  0.00000E+00  0.000E+00  1.18876E-10  1.156E-11  0.00000E+00  0.000E+00
   5.90821E+06  0.00000E+00  0.000E+00  8.98984E-11  1.017E-11  0.00000E+00  0.000E+00
   5.95893E+06  0.00000E+00  0.000E+00  4.47177E-11  7.293E-12  0.00000E+00  0.000E+00
   6.00964E+06  0.00000E+00  0.000E+00  2.93203E-12  1.721E-12  0.00000E+00  0.000E+00
   6.06036E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   6.11107E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   6.16179E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   6.21250E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   6.26321E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   6.31393E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   6.36464E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   6.41536E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   6.46607E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   6.51679E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   6.56750E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   6.61821E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   6.66893E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   6.71964E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   6.77036E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   6.82107E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   6.87179E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   6.92250E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   6.97321E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   7.02393E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   7.07464E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
