#------------------------------------------------------------
# PenRed: Energy spectrum report
# detector number:  2
# Units are 1/(eV*history)
#
# Linear scale
# Energy     min    ,    max    , number of bins
#        0.00000e+00 7.00000e+06    120
#
#             |      Total spectrum     |            electron     |               gamma     |            positron     |
#             |                         |                         |                         |                         |
# Energy (eV) |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |
  2.91667E+04   8.55851E-10   8.858E-12   0.00000E+00   0.000E+00   8.55851E-10   8.858E-12   0.00000E+00   0.000E+00 
  8.75000E+04   2.43851E-09   1.543E-11   5.84349E-12   5.902E-13   2.43267E-09   1.541E-11   0.00000E+00   0.000E+00 
  1.45833E+05   2.04811E-09   1.272E-11   2.49541E-11   1.276E-12   2.02307E-09   1.262E-11   8.94412E-14   7.303E-14 
  2.04167E+05   2.00473E-09   1.246E-11   2.62808E-11   1.301E-12   1.97832E-09   1.234E-11   1.34162E-13   8.944E-14 
  2.62500E+05   1.53562E-09   1.067E-11   2.64299E-11   1.299E-12   1.50893E-09   1.055E-11   2.53417E-13   1.229E-13 
  3.20833E+05   9.92842E-10   8.865E-12   2.47603E-11   1.219E-12   9.67918E-10   8.759E-12   1.63976E-13   9.888E-14 
  3.79167E+05   9.09513E-10   9.515E-12   2.40746E-11   1.201E-12   8.85274E-10   9.421E-12   1.63976E-13   9.888E-14 
  4.37500E+05   9.90815E-10   1.096E-11   2.35081E-11   1.188E-12   9.67083E-10   1.088E-11   2.23603E-13   1.155E-13 
  4.95833E+05   1.55954E-09   1.383E-11   2.18535E-11   1.147E-12   1.53748E-09   1.377E-11   2.08696E-13   1.116E-13 
  5.54167E+05   1.07155E-09   1.291E-11   2.15106E-11   1.135E-12   1.04979E-09   1.285E-11   2.53417E-13   1.229E-13 
  6.12500E+05   1.11597E-09   1.334E-11   2.07802E-11   1.117E-12   1.09497E-09   1.328E-11   2.23603E-13   1.155E-13 
  6.70833E+05   1.18657E-09   1.430E-11   2.00199E-11   1.129E-12   1.16630E-09   1.424E-11   2.53417E-13   1.229E-13 
  7.29167E+05   1.20245E-09   1.440E-11   1.94386E-11   1.080E-12   1.18274E-09   1.436E-11   2.68324E-13   1.265E-13 
  7.87500E+05   1.23491E-09   1.520E-11   1.84547E-11   1.053E-12   1.21619E-09   1.516E-11   2.68324E-13   1.265E-13 
  8.45833E+05   1.23326E-09   1.514E-11   1.69789E-11   1.009E-12   1.21609E-09   1.510E-11   1.93789E-13   1.075E-13 
  9.04167E+05   1.25204E-09   1.559E-11   1.63677E-11   9.957E-13   1.23539E-09   1.555E-11   2.83230E-13   1.300E-13 
  9.62500E+05   1.25066E-09   1.568E-11   1.60547E-11   9.800E-13   1.23442E-09   1.565E-11   1.78882E-13   1.033E-13 
