#------------------------------------------------------------
# PenRed: Energy spectrum report
# detector number:  3
# Units are 1/(eV*history)
#
# Linear scale
# Energy     min    ,    max    , number of bins
#        0.00000e+00 7.00000e+06    120
#
#             |      Total spectrum     |            electron     |               gamma     |            positron     |
#             |                         |                         |                         |                         |
# Energy (eV) |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |
  2.91667E+04   3.66204E-10   5.004E-12   0.00000E+00   0.000E+00   3.66204E-10   5.004E-12   0.00000E+00   0.000E+00 
  8.75000E+04   1.12766E-09   9.073E-12   2.71305E-12   4.022E-13   1.12493E-09   9.059E-12   1.49069E-14   2.981E-14 
  1.45833E+05   9.01180E-10   7.865E-12   9.62983E-12   7.670E-13   8.91490E-10   7.809E-12   5.96275E-14   5.963E-14 
  2.04167E+05   5.28881E-10   5.844E-12   1.05093E-11   7.993E-13   5.18297E-10   5.774E-12   7.45343E-14   6.667E-14 
  2.62500E+05   4.48398E-10   5.372E-12   1.11056E-11   8.202E-13   4.37203E-10   5.296E-12   8.94412E-14   7.303E-14 
  3.20833E+05   4.63753E-10   5.522E-12   1.10609E-11   8.131E-13   4.52587E-10   5.451E-12   1.04348E-13   7.888E-14 
  3.79167E+05   5.09457E-10   5.923E-12   1.04199E-11   7.904E-13   4.98963E-10   5.860E-12   7.45343E-14   6.667E-14 
  4.37500E+05   5.66267E-10   6.435E-12   1.12398E-11   8.207E-13   5.54863E-10   6.373E-12   1.63976E-13   9.888E-14 
  4.95833E+05   7.09015E-10   7.332E-12   1.10013E-11   8.142E-13   6.97924E-10   7.275E-12   8.94412E-14   7.303E-14 
  5.54167E+05   5.99793E-10   6.911E-12   1.09416E-11   8.087E-13   5.88702E-10   6.854E-12   1.49069E-13   9.428E-14 
  6.12500E+05   6.13895E-10   7.101E-12   1.00770E-11   7.785E-13   6.03728E-10   7.050E-12   8.94412E-14   7.303E-14 
  6.70833E+05   6.25716E-10   7.405E-12   1.03006E-11   7.859E-13   6.15281E-10   7.353E-12   1.34162E-13   8.944E-14 
  7.29167E+05   6.26744E-10   7.416E-12   9.31679E-12   7.452E-13   6.17234E-10   7.371E-12   1.93789E-13   1.075E-13 
  7.87500E+05   6.31231E-10   7.678E-12   9.52549E-12   7.547E-13   6.21586E-10   7.634E-12   1.19255E-13   8.433E-14 
  8.45833E+05   6.26372E-10   7.676E-12   8.97393E-12   7.876E-13   6.17308E-10   7.629E-12   8.94412E-14   7.303E-14 
  9.04167E+05   6.22749E-10   7.884E-12   8.83977E-12   7.259E-13   6.13775E-10   7.843E-12   1.34162E-13   8.944E-14 
  9.62500E+05   6.19201E-10   7.921E-12   7.88573E-12   6.882E-13   6.11167E-10   7.885E-12   1.49069E-13   9.428E-14 
  1.02083E+06   6.10168E-10   7.973E-12   8.30312E-12   7.048E-13   6.01805E-10   7.937E-12   5.96275E-14   5.963E-14 
  1.07917E+06   6.07663E-10   8.008E-12   7.60250E-12   6.732E-13   5.99957E-10   7.974E-12   1.04348E-13   7.888E-14 
  1.13750E+06   5.88150E-10   8.049E-12   7.57269E-12   6.719E-13   5.80458E-10   8.015E-12   1.19255E-13   8.433E-14 
  1.19583E+06   5.82352E-10   8.146E-12   6.57393E-12   6.289E-13   5.75643E-10   8.118E-12   1.34162E-13   8.944E-14 
  1.25417E+06   5.74839E-10   8.191E-12   6.87206E-12   6.401E-13   5.67862E-10   8.162E-12   1.04348E-13   7.888E-14 
  1.31250E+06   5.53358E-10   8.137E-12   6.42486E-12   6.189E-13   5.46843E-10   8.110E-12   8.94412E-14   7.303E-14 
  1.37083E+06   5.40612E-10   8.160E-12   5.88821E-12   5.940E-13   5.34679E-10   8.135E-12   4.47206E-14   5.164E-14 
  1.42917E+06   5.21129E-10   7.994E-12   5.64970E-12   5.819E-13   5.15390E-10   7.969E-12   8.94412E-14   7.303E-14 
  1.48750E+06   5.15971E-10   8.116E-12   5.59007E-12   5.773E-13   5.10307E-10   8.093E-12   7.45343E-14   6.667E-14 
  1.54583E+06   4.96905E-10   8.036E-12   5.72424E-12   5.842E-13   4.91107E-10   8.012E-12   7.45343E-14   6.667E-14 
  1.60417E+06   4.81551E-10   7.929E-12   5.18759E-12   5.561E-13   4.76304E-10   7.907E-12   5.96275E-14   5.963E-14 
  1.66250E+06   4.61546E-10   7.826E-12   4.38262E-12   5.112E-13   4.57134E-10   7.807E-12   2.98137E-14   4.216E-14 
  1.72083E+06   4.50769E-10   8.073E-12   4.82982E-12   5.366E-13   4.45864E-10   8.053E-12   7.45343E-14   6.667E-14 
  1.77917E+06   4.38888E-10   8.065E-12   4.39753E-12   5.155E-13   4.34416E-10   8.046E-12   7.45343E-14   6.667E-14 
  1.83750E+06   4.22952E-10   7.960E-12   4.05467E-12   5.672E-13   4.18779E-10   7.938E-12   1.19255E-13   8.433E-14 
  1.89583E+06   3.99996E-10   7.600E-12   3.69690E-12   4.695E-13   3.96210E-10   7.584E-12   8.94412E-14   7.303E-14 
  1.95417E+06   3.93631E-10   7.901E-12   3.17516E-12   4.351E-13   3.90396E-10   7.888E-12   5.96275E-14   5.963E-14 
  2.01250E+06   3.71449E-10   7.516E-12   3.47330E-12   4.551E-13   3.67976E-10   7.500E-12   0.00000E+00   0.000E+00 
  2.07083E+06   3.58093E-10   7.488E-12   3.19007E-12   4.361E-13   3.54858E-10   7.473E-12   4.47206E-14   5.164E-14 
  2.12917E+06   3.46063E-10   7.645E-12   2.71305E-12   4.022E-13   3.43305E-10   7.634E-12   4.47206E-14   5.164E-14 
  2.18750E+06   3.29591E-10   7.416E-12   2.90684E-12   4.163E-13   3.26639E-10   7.403E-12   4.47206E-14   5.164E-14 
  2.24583E+06   3.21168E-10   7.334E-12   2.22112E-12   3.639E-13   3.18932E-10   7.324E-12   1.49069E-14   2.981E-14 
  2.30417E+06   3.07886E-10   7.303E-12   2.48945E-12   3.853E-13   3.05367E-10   7.292E-12   2.98137E-14   4.216E-14 
  2.36250E+06   2.98823E-10   7.359E-12   2.29566E-12   3.700E-13   2.96468E-10   7.349E-12   5.96275E-14   5.963E-14 
  2.42083E+06   2.87121E-10   7.394E-12   2.54907E-12   3.899E-13   2.84498E-10   7.383E-12   7.45343E-14   6.667E-14 
  2.47917E+06   2.70127E-10   6.984E-12   1.89317E-12   3.360E-13   2.68219E-10   6.976E-12   1.49069E-14   2.981E-14 
  2.53750E+06   2.62197E-10   6.943E-12   1.93789E-12   3.399E-13   2.60229E-10   6.934E-12   2.98137E-14   4.216E-14 
  2.59583E+06   2.53760E-10   6.838E-12   2.08696E-12   3.528E-13   2.51628E-10   6.828E-12   4.47206E-14   5.164E-14 
  2.65417E+06   2.45039E-10   6.918E-12   1.74410E-12   3.225E-13   2.43280E-10   6.910E-12   1.49069E-14   2.981E-14 
  2.71250E+06   2.41924E-10   6.856E-12   1.75901E-12   3.239E-13   2.40164E-10   6.848E-12   0.00000E+00   0.000E+00 
  2.77083E+06   2.30147E-10   6.930E-12   1.62485E-12   3.113E-13   2.28507E-10   6.922E-12   1.49069E-14   2.981E-14 
  2.82917E+06   2.14987E-10   6.371E-12   1.44597E-12   2.966E-13   2.13526E-10   6.364E-12   1.49069E-14   2.981E-14 
  2.88750E+06   2.11663E-10   6.654E-12   1.35652E-12   2.844E-13   2.10261E-10   6.647E-12   4.47206E-14   5.164E-14 
  2.94583E+06   1.99081E-10   6.177E-12   1.34162E-12   2.828E-13   1.97740E-10   6.170E-12   0.00000E+00   0.000E+00 
  3.00417E+06   1.94922E-10   6.579E-12   1.17764E-12   2.650E-13   1.93745E-10   6.573E-12   0.00000E+00   0.000E+00 
  3.06250E+06   1.85292E-10   6.165E-12   1.16274E-12   2.633E-13   1.84130E-10   6.159E-12   0.00000E+00   0.000E+00 
  3.12083E+06   1.79225E-10   6.197E-12   1.29690E-12   2.781E-13   1.77913E-10   6.191E-12   1.49069E-14   2.981E-14 
  3.17917E+06   1.71369E-10   5.957E-12   1.14783E-12   2.616E-13   1.70207E-10   5.950E-12   1.49069E-14   2.981E-14 
  3.23750E+06   1.63692E-10   5.938E-12   8.19878E-13   2.211E-13   1.62857E-10   5.933E-12   1.49069E-14   2.981E-14 
  3.29583E+06   1.55657E-10   5.842E-12   8.04971E-13   2.191E-13   1.54838E-10   5.837E-12   1.49069E-14   2.981E-14 
  3.35417E+06   1.52482E-10   5.970E-12   6.70809E-13   2.000E-13   1.51797E-10   5.967E-12   1.49069E-14   2.981E-14 
  3.41250E+06   1.49367E-10   5.934E-12   7.45343E-13   2.108E-13   1.48592E-10   5.930E-12   2.98137E-14   4.216E-14 
  3.47083E+06   1.46892E-10   5.985E-12   4.91927E-13   1.713E-13   1.46400E-10   5.982E-12   0.00000E+00   0.000E+00 
  3.52917E+06   1.41734E-10   5.969E-12   7.15530E-13   2.066E-13   1.41019E-10   5.965E-12   0.00000E+00   0.000E+00 
  3.58750E+06   1.36308E-10   5.806E-12   4.77020E-13   1.687E-13   1.35831E-10   5.803E-12   0.00000E+00   0.000E+00 
  3.64583E+06   1.25874E-10   5.505E-12   6.70809E-13   2.000E-13   1.25203E-10   5.501E-12   0.00000E+00   0.000E+00 
  3.70417E+06   1.25441E-10   5.656E-12   5.96275E-13   1.886E-13   1.24830E-10   5.652E-12   1.49069E-14   2.981E-14 
  3.76250E+06   1.14872E-10   5.230E-12   3.72672E-13   1.491E-13   1.14500E-10   5.227E-12   0.00000E+00   0.000E+00 
  3.82083E+06   1.13784E-10   5.311E-12   4.91927E-13   1.713E-13   1.13277E-10   5.308E-12   1.49069E-14   2.981E-14 
  3.87917E+06   1.06539E-10   5.142E-12   4.17392E-13   1.578E-13   1.06122E-10   5.139E-12   0.00000E+00   0.000E+00 
  3.93750E+06   1.02097E-10   5.108E-12   5.66461E-13   1.838E-13   1.01531E-10   5.105E-12   0.00000E+00   0.000E+00 
  3.99583E+06   9.99803E-11   5.243E-12   2.68324E-13   1.265E-13   9.97120E-11   5.241E-12   0.00000E+00   0.000E+00 
  4.05417E+06   9.85791E-11   5.135E-12   4.17392E-13   1.578E-13   9.81617E-11   5.132E-12   0.00000E+00   0.000E+00 
  4.11250E+06   9.35555E-11   4.972E-12   3.27951E-13   1.398E-13   9.32275E-11   4.969E-12   0.00000E+00   0.000E+00 
  4.17083E+06   8.97393E-11   4.931E-12   3.13044E-13   1.366E-13   8.94263E-11   4.929E-12   0.00000E+00   0.000E+00 
  4.22917E+06   8.59381E-11   4.869E-12   2.38510E-13   1.193E-13   8.56996E-11   4.867E-12   0.00000E+00   0.000E+00 
  4.28750E+06   7.91405E-11   4.479E-12   2.23603E-13   1.155E-13   7.89169E-11   4.477E-12   0.00000E+00   0.000E+00 
  4.34583E+06   8.12722E-11   4.948E-12   1.93789E-13   1.075E-13   8.10784E-11   4.947E-12   0.00000E+00   0.000E+00 
  4.40417E+06   7.92449E-11   4.742E-12   1.93789E-13   1.075E-13   7.90511E-11   4.740E-12   0.00000E+00   0.000E+00 
  4.46250E+06   7.16126E-11   4.447E-12   1.78882E-13   1.033E-13   7.14337E-11   4.445E-12   0.00000E+00   0.000E+00 
  4.52083E+06   6.98387E-11   4.504E-12   8.94412E-14   7.303E-14   6.97492E-11   4.503E-12   0.00000E+00   0.000E+00 
  4.57917E+06   6.53964E-11   4.367E-12   2.53417E-13   1.229E-13   6.51430E-11   4.365E-12   0.00000E+00   0.000E+00 
  4.63750E+06   6.23852E-11   4.301E-12   1.78882E-13   1.033E-13   6.22063E-11   4.300E-12   0.00000E+00   0.000E+00 
  4.69583E+06   5.66461E-11   3.896E-12   2.98137E-14   4.216E-14   5.66163E-11   3.896E-12   0.00000E+00   0.000E+00 
  4.75417E+06   6.08349E-11   4.499E-12   1.49069E-14   2.981E-14   6.08200E-11   4.499E-12   0.00000E+00   0.000E+00 
  4.81250E+06   5.58858E-11   4.034E-12   8.94412E-14   7.303E-14   5.57964E-11   4.033E-12   0.00000E+00   0.000E+00 
  4.87083E+06   5.21144E-11   3.842E-12   1.34162E-13   8.944E-14   5.19802E-11   3.841E-12   0.00000E+00   0.000E+00 
  4.92917E+06   4.99678E-11   4.045E-12   1.49069E-14   2.981E-14   4.99529E-11   4.045E-12   0.00000E+00   0.000E+00 
  4.98750E+06   4.62113E-11   3.730E-12   7.45343E-14   6.667E-14   4.61367E-11   3.730E-12   0.00000E+00   0.000E+00 
  5.04583E+06   4.25591E-11   3.699E-12   4.47206E-14   5.164E-14   4.25144E-11   3.698E-12   0.00000E+00   0.000E+00 
  5.10417E+06   4.39902E-11   3.803E-12   0.00000E+00   0.000E+00   4.39902E-11   3.803E-12   0.00000E+00   0.000E+00 
  5.16250E+06   4.22013E-11   3.787E-12   8.94412E-14   7.303E-14   4.21119E-11   3.786E-12   0.00000E+00   0.000E+00 
  5.22083E+06   3.64473E-11   3.269E-12   1.49069E-14   2.981E-14   3.64324E-11   3.269E-12   0.00000E+00   0.000E+00 
  5.27917E+06   3.48970E-11   3.253E-12   2.98137E-14   4.216E-14   3.48672E-11   3.253E-12   0.00000E+00   0.000E+00 
  5.33750E+06   3.68796E-11   3.592E-12   0.00000E+00   0.000E+00   3.68796E-11   3.592E-12   0.00000E+00   0.000E+00 
  5.39583E+06   3.02609E-11   3.154E-12   0.00000E+00   0.000E+00   3.02609E-11   3.154E-12   0.00000E+00   0.000E+00 
  5.45417E+06   2.97541E-11   3.229E-12   0.00000E+00   0.000E+00   2.97541E-11   3.229E-12   0.00000E+00   0.000E+00 
  5.51250E+06   2.69814E-11   3.082E-12   0.00000E+00   0.000E+00   2.69814E-11   3.082E-12   0.00000E+00   0.000E+00 
  5.57083E+06   2.23454E-11   2.569E-12   0.00000E+00   0.000E+00   2.23454E-11   2.569E-12   0.00000E+00   0.000E+00 
  5.62917E+06   2.09292E-11   2.836E-12   0.00000E+00   0.000E+00   2.09292E-11   2.836E-12   0.00000E+00   0.000E+00 
  5.68750E+06   2.04224E-11   2.692E-12   0.00000E+00   0.000E+00   2.04224E-11   2.692E-12   0.00000E+00   0.000E+00 
  5.74583E+06   1.56224E-11   2.213E-12   0.00000E+00   0.000E+00   1.56224E-11   2.213E-12   0.00000E+00   0.000E+00 
  5.80417E+06   1.54435E-11   2.367E-12   0.00000E+00   0.000E+00   1.54435E-11   2.367E-12   0.00000E+00   0.000E+00 
  5.86250E+06   1.12100E-11   2.053E-12   0.00000E+00   0.000E+00   1.12100E-11   2.053E-12   0.00000E+00   0.000E+00 
  5.92083E+06   8.52673E-12   1.984E-12   0.00000E+00   0.000E+00   8.52673E-12   1.984E-12   0.00000E+00   0.000E+00 
  5.97917E+06   3.17516E-12   1.025E-12   0.00000E+00   0.000E+00   3.17516E-12   1.025E-12   0.00000E+00   0.000E+00 
  6.03750E+06   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  6.09583E+06   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  6.15417E+06   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  6.21250E+06   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  6.27083E+06   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  6.32917E+06   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
