#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING UPBOUND PARTICLES DISTRIBUTION]
# Units are particles/(eV history)
# Energy window (eV), energy bins:
#  1.00000E+05  3.50000E+07   100
#
# Energy (eV) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   1.94695E+07  2.23190E-09  2.064E-11  2.30683E-09  2.098E-11  8.48376E-10  1.273E-11
   1.98185E+07  2.16729E-09  2.034E-11  2.26246E-09  2.078E-11  8.00573E-10  1.236E-11
   2.01675E+07  2.11991E-09  2.012E-11  2.21261E-09  2.055E-11  7.67144E-10  1.210E-11
   2.05165E+07  2.05936E-09  1.983E-11  2.15478E-09  2.028E-11  7.43362E-10  1.191E-11
   2.08655E+07  2.01934E-09  1.963E-11  2.13372E-09  2.018E-11  7.09694E-10  1.164E-11
   2.12145E+07  1.97426E-09  1.941E-11  2.10649E-09  2.005E-11  6.62560E-10  1.125E-11
   2.15635E+07  1.91585E-09  1.912E-11  2.06309E-09  1.984E-11  6.31328E-10  1.098E-11
   2.19125E+07  1.87641E-09  1.893E-11  2.02813E-09  1.968E-11  6.00191E-10  1.071E-11
   2.22615E+07  1.81060E-09  1.859E-11  1.99895E-09  1.953E-11  5.75549E-10  1.048E-11
   2.26105E+07  1.78085E-09  1.844E-11  1.96418E-09  1.936E-11  5.36915E-10  1.013E-11
   2.29595E+07  1.71423E-09  1.809E-11  1.95821E-09  1.933E-11  5.05014E-10  9.821E-12
   2.33085E+07  1.66944E-09  1.785E-11  1.90435E-09  1.907E-11  4.67049E-10  9.445E-12
   2.36575E+07  1.61289E-09  1.755E-11  1.91275E-09  1.911E-11  4.33572E-10  9.100E-12
   2.40065E+07  1.56342E-09  1.728E-11  1.85936E-09  1.884E-11  3.98615E-10  8.725E-12
   2.43555E+07  1.51743E-09  1.702E-11  1.85043E-09  1.879E-11  3.64040E-10  8.339E-12
   2.47045E+07  1.47837E-09  1.680E-11  1.83381E-09  1.871E-11  3.28415E-10  7.920E-12
   2.50535E+07  1.42168E-09  1.648E-11  1.80883E-09  1.858E-11  3.05014E-10  7.633E-12
   2.54025E+07  1.36399E-09  1.614E-11  1.80764E-09  1.858E-11  2.61605E-10  7.069E-12
   2.57515E+07  1.31643E-09  1.585E-11  1.79690E-09  1.852E-11  2.31471E-10  6.649E-12
   2.61005E+07  1.25110E-09  1.546E-11  1.77708E-09  1.842E-11  1.98233E-10  6.153E-12
   2.64495E+07  1.19169E-09  1.508E-11  1.76337E-09  1.835E-11  1.65616E-10  5.624E-12
   2.67985E+07  1.14112E-09  1.476E-11  1.73462E-09  1.820E-11  1.35960E-10  5.096E-12
   2.71475E+07  1.06404E-09  1.425E-11  1.73534E-09  1.820E-11  1.08309E-10  4.548E-12
   2.74965E+07  1.00669E-09  1.386E-11  1.71996E-09  1.812E-11  7.99427E-11  3.908E-12
   2.78455E+07  9.17192E-10  1.323E-11  1.74336E-09  1.824E-11  5.74021E-11  3.311E-12
   2.81945E+07  8.55731E-10  1.278E-11  1.70645E-09  1.805E-11  3.00382E-11  2.395E-12
   2.85435E+07  7.57211E-10  1.203E-11  1.69169E-09  1.797E-11  1.29417E-11  1.572E-12
   2.88925E+07  6.44460E-10  1.109E-11  1.68672E-09  1.794E-11  2.10124E-12  6.335E-13
   2.92415E+07  4.96991E-10  9.743E-12  1.71590E-09  1.810E-11  0.00000E+00  0.000E+00
   2.95905E+07  2.19389E-10  6.473E-12  1.71012E-09  1.807E-11  0.00000E+00  0.000E+00
   2.99395E+07  4.77555E-14  9.551E-14  1.71838E-06  3.625E-10  0.00000E+00  0.000E+00
   3.02885E+07  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.06375E+07  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.09865E+07  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.13355E+07  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.16845E+07  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.20335E+07  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.23825E+07  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.27315E+07  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.30805E+07  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.34295E+07  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.37785E+07  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.41275E+07  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.44765E+07  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.48255E+07  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
