#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING DOWNBOUND PARTICLES DISTRIBUTION]
# Units are particles/(eV history)
# Energy minimum, maximum, energy bins:
#  1.00000E+05  3.50000E+07   100
#
# Energy (eV) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   1.94695E+07  9.55110E-14  1.351E-13  1.43266E-13  1.654E-13  4.77555E-14  9.551E-14
   1.98185E+07  1.43266E-13  1.654E-13  9.55110E-14  1.351E-13  9.55110E-14  1.351E-13
   2.01675E+07  0.00000E+00  0.000E+00  4.77555E-14  9.551E-14  4.77555E-14  9.551E-14
   2.05165E+07  1.43266E-13  1.654E-13  9.55110E-14  1.351E-13  0.00000E+00  0.000E+00
   2.08655E+07  9.55110E-14  1.351E-13  1.43266E-13  1.654E-13  4.77555E-14  9.551E-14
   2.12145E+07  4.77555E-14  9.551E-14  9.55110E-14  1.351E-13  0.00000E+00  0.000E+00
   2.15635E+07  9.55110E-14  1.351E-13  4.77555E-14  9.551E-14  9.55110E-14  1.351E-13
   2.19125E+07  4.77555E-14  9.551E-14  4.77555E-14  9.551E-14  4.77555E-14  9.551E-14
   2.22615E+07  0.00000E+00  0.000E+00  9.55110E-14  1.351E-13  1.43266E-13  1.654E-13
   2.26105E+07  4.77555E-14  9.551E-14  0.00000E+00  0.000E+00  9.55110E-14  1.351E-13
   2.29595E+07  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.33085E+07  0.00000E+00  0.000E+00  4.77555E-14  9.551E-14  9.55110E-14  1.351E-13
   2.36575E+07  1.43266E-13  1.654E-13  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.40065E+07  4.77555E-14  9.551E-14  0.00000E+00  0.000E+00  4.77555E-14  9.551E-14
   2.43555E+07  0.00000E+00  0.000E+00  9.55110E-14  1.351E-13  0.00000E+00  0.000E+00
   2.47045E+07  4.77555E-14  9.551E-14  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.50535E+07  4.77555E-14  9.551E-14  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.54025E+07  4.77555E-14  9.551E-14  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.57515E+07  4.77555E-14  9.551E-14  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.61005E+07  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.64495E+07  4.77555E-14  9.551E-14  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.67985E+07  4.77555E-14  9.551E-14  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
