#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING ANGULAR PARTICLES DISTRIBUTION]
# Units are particles/(sr history)
# Polar angle minimum, maximum, polar bins:
#  0.00000E+00  1.80000E+02    45
# Azimuthal angle minimum, maximum, azimuthal bins:
#  0.00000E+00  3.60000E+02    18
#
# theta (deg) :  phi (deg) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   1.00000E+01  2.30000E+02  2.51132E-07  1.645E-07  9.89239E-05  4.296E-06  0.00000E+00  0.000E+00
   1.00000E+01  2.50000E+02  1.84656E-07  7.386E-08  9.87023E-05  4.281E-06  0.00000E+00  0.000E+00
   1.00000E+01  2.70000E+02  1.62497E-07  6.929E-08  1.00593E-04  4.277E-06  0.00000E+00  0.000E+00
   1.00000E+01  2.90000E+02  1.77270E-07  7.237E-08  9.65307E-05  4.203E-06  0.00000E+00  0.000E+00
   1.00000E+01  3.10000E+02  3.76698E-07  2.647E-07  1.00202E-04  4.329E-06  0.00000E+00  0.000E+00
   1.00000E+01  3.30000E+02  1.03407E-07  5.527E-08  9.69591E-05  4.202E-06  0.00000E+00  0.000E+00
   1.00000E+01  3.50000E+02  3.32381E-07  2.622E-07  9.96699E-05  4.273E-06  0.00000E+00  0.000E+00

   1.40000E+01  1.00000E+01  1.64354E-07  1.166E-07  9.82306E-05  3.624E-06  0.00000E+00  0.000E+00
   1.40000E+01  3.00000E+01  4.24139E-07  2.441E-07  9.46519E-05  3.524E-06  0.00000E+00  0.000E+00
   1.40000E+01  5.00000E+01  2.75690E-07  1.615E-07  9.38037E-05  3.466E-06  0.00000E+00  0.000E+00
   1.40000E+01  7.00000E+01  3.12803E-07  1.923E-07  9.98105E-05  3.651E-06  0.00000E+00  0.000E+00
   1.40000E+01  9.00000E+01  1.96164E-07  1.195E-07  9.71438E-05  3.587E-06  0.00000E+00  0.000E+00
   1.40000E+01  1.10000E+02  3.92329E-07  2.209E-07  9.64916E-05  3.571E-06  0.00000E+00  0.000E+00
   1.40000E+01  1.30000E+02  2.33277E-07  1.587E-07  9.78701E-05  3.598E-06  0.00000E+00  0.000E+00
   1.40000E+01  1.50000E+02  3.28708E-07  1.932E-07  9.82889E-05  3.601E-06  0.00000E+00  0.000E+00
   1.40000E+01  1.70000E+02  3.65820E-07  2.196E-07  9.91637E-05  3.640E-06  0.00000E+00  0.000E+00
   1.40000E+01  1.90000E+02  1.90863E-07  1.190E-07  9.60993E-05  3.549E-06  0.00000E+00  0.000E+00
   1.40000E+01  2.10000E+02  2.49182E-07  1.598E-07  9.87025E-05  3.657E-06  0.00000E+00  0.000E+00
   1.40000E+01  2.30000E+02  3.23406E-07  1.929E-07  9.86919E-05  3.608E-06  0.00000E+00  0.000E+00
   1.40000E+01  2.50000E+02  2.06768E-07  1.204E-07  9.75944E-05  3.605E-06  0.00000E+00  0.000E+00
   1.40000E+01  2.70000E+02  2.27975E-07  1.583E-07  9.65182E-05  3.562E-06  0.00000E+00  0.000E+00
   1.40000E+01  2.90000E+02  1.69656E-07  5.998E-08  9.67620E-05  3.580E-06  0.00000E+00  0.000E+00
   1.40000E+01  3.10000E+02  2.17371E-07  1.214E-07  9.70218E-05  3.562E-06  0.00000E+00  0.000E+00
   1.40000E+01  3.30000E+02  3.60518E-07  2.194E-07  9.43444E-05  3.509E-06  0.00000E+00  0.000E+00
   1.40000E+01  3.50000E+02  1.69656E-07  5.998E-08  9.54472E-05  3.521E-06  0.00000E+00  0.000E+00

   1.80000E+01  1.00000E+01  3.94307E-07  1.938E-07  9.42809E-05  3.129E-06  0.00000E+00  0.000E+00
   1.80000E+01  3.00000E+01  3.15446E-07  1.904E-07  9.52605E-05  3.141E-06  0.00000E+00  0.000E+00
   1.80000E+01  5.00000E+01  1.99229E-07  9.752E-08  9.29361E-05  3.086E-06  0.00000E+00  0.000E+00
   1.80000E+01  7.00000E+01  2.53187E-07  1.289E-07  9.24381E-05  3.081E-06  0.00000E+00  0.000E+00
   1.80000E+01  9.00000E+01  2.07530E-07  1.259E-07  9.38119E-05  3.108E-06  0.00000E+00  0.000E+00
   1.80000E+01  1.10000E+02  1.36970E-07  4.769E-08  9.65057E-05  3.172E-06  0.00000E+00  0.000E+00
   1.80000E+01  1.30000E+02  3.86006E-07  1.934E-07  9.33844E-05  3.104E-06  0.00000E+00  0.000E+00
   1.80000E+01  1.50000E+02  2.32434E-07  1.275E-07  9.51733E-05  3.128E-06  0.00000E+00  0.000E+00
   1.80000E+01  1.70000E+02  2.28283E-07  1.273E-07  9.51775E-05  3.124E-06  0.00000E+00  0.000E+00
   1.80000E+01  1.90000E+02  2.65639E-07  1.517E-07  9.31063E-05  3.090E-06  0.00000E+00  0.000E+00
   1.80000E+01  2.10000E+02  2.11681E-07  1.262E-07  9.39447E-05  3.117E-06  0.00000E+00  0.000E+00
   1.80000E+01  2.30000E+02  2.49036E-07  1.508E-07  9.45134E-05  3.127E-06  0.00000E+00  0.000E+00
   1.80000E+01  2.50000E+02  2.73940E-07  1.522E-07  8.89972E-05  2.993E-06  0.00000E+00  0.000E+00
   1.80000E+01  2.70000E+02  2.57337E-07  1.513E-07  9.47001E-05  3.128E-06  0.00000E+00  0.000E+00
   1.80000E+01  2.90000E+02  2.07530E-07  5.870E-08  9.47583E-05  3.135E-06  0.00000E+00  0.000E+00
   1.80000E+01  3.10000E+02  2.53187E-07  1.289E-07  9.47500E-05  3.140E-06  0.00000E+00  0.000E+00
   1.80000E+01  3.30000E+02  2.86392E-07  1.528E-07  9.50239E-05  3.138E-06  0.00000E+00  0.000E+00
   1.80000E+01  3.50000E+02  3.27898E-07  1.551E-07  9.50446E-05  3.137E-06  0.00000E+00  0.000E+00

   2.20000E+01  1.00000E+01  1.98585E-07  1.056E-07  9.06266E-05  2.774E-06  0.00000E+00  0.000E+00
   2.20000E+01  3.00000E+01  2.29400E-07  1.257E-07  8.86133E-05  2.725E-06  0.00000E+00  0.000E+00
   2.20000E+01  5.00000E+01  1.12988E-07  3.934E-08  8.75348E-05  2.699E-06  0.00000E+00  0.000E+00
   2.20000E+01  7.00000E+01  2.77334E-07  1.283E-07  8.95789E-05  2.737E-06  0.00000E+00  0.000E+00
   2.20000E+01  9.00000E+01  2.12280E-07  1.065E-07  8.82983E-05  2.705E-06  0.00000E+00  0.000E+00
   2.20000E+01  1.10000E+02  2.84182E-07  1.581E-07  9.03082E-05  2.760E-06  0.00000E+00  0.000E+00
   2.20000E+01  1.30000E+02  1.54074E-07  7.956E-08  9.02089E-05  2.751E-06  0.00000E+00  0.000E+00
   2.20000E+01  1.50000E+02  3.14997E-07  1.594E-07  9.05478E-05  2.773E-06  0.00000E+00  0.000E+00
   2.20000E+01  1.70000E+02  1.91737E-07  1.236E-07  8.99315E-05  2.767E-06  0.00000E+00  0.000E+00
   2.20000E+01  1.90000E+02  1.78042E-07  1.043E-07  9.03013E-05  2.766E-06  0.00000E+00  0.000E+00
   2.20000E+01  2.10000E+02  1.78042E-07  8.160E-08  9.07088E-05  2.768E-06  0.00000E+00  0.000E+00
   2.20000E+01  2.30000E+02  2.05433E-07  1.061E-07  8.84456E-05  2.715E-06  0.00000E+00  0.000E+00
   2.20000E+01  2.50000E+02  2.94453E-07  1.446E-07  9.10580E-05  2.786E-06  0.00000E+00  0.000E+00
   2.20000E+01  2.70000E+02  1.64346E-07  8.044E-08  8.90790E-05  2.732E-06  0.00000E+00  0.000E+00
   2.20000E+01  2.90000E+02  2.32824E-07  1.259E-07  9.05376E-05  2.763E-06  0.00000E+00  0.000E+00
   2.20000E+01  3.10000E+02  2.84182E-07  1.441E-07  9.10101E-05  2.774E-06  0.00000E+00  0.000E+00
   2.20000E+01  3.30000E+02  2.29400E-07  1.076E-07  8.94145E-05  2.752E-06  0.00000E+00  0.000E+00
   2.20000E+01  3.50000E+02  3.38964E-07  1.731E-07  8.99521E-05  2.743E-06  0.00000E+00  0.000E+00

   2.60000E+01  1.00000E+01  1.87254E-07  1.069E-07  8.57536E-05  2.481E-06  0.00000E+00  0.000E+00
   2.60000E+01  3.00000E+01  2.42845E-07  1.232E-07  8.42615E-05  2.444E-06  0.00000E+00  0.000E+00
   2.60000E+01  5.00000E+01  2.10661E-07  9.289E-08  8.30297E-05  2.410E-06  0.00000E+00  0.000E+00
