#------------------------------------------------------------
# PenRed: Energy spectrum report
# detector number:  1
# Units are 1/(eV*history)
#
# Linear scale
# Energy     min    ,    max    , number of bins
#        0.00000e+00 7.00000e+06    120
#
#             |      Total spectrum     |            electron     |               gamma     |            positron     |
#             |                         |                         |                         |                         |
# Energy (eV) |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |
  2.47917E+06   9.09138E-10   3.638E-11   5.32174E-12   1.672E-12   9.02057E-10   3.633E-11   1.75901E-12   9.924E-13 
  2.53750E+06   8.94216E-10   3.592E-11   6.02236E-12   1.777E-12   8.87478E-10   3.587E-11   7.15528E-13   6.022E-13 
  2.59583E+06   8.58276E-10   3.562E-11   4.44224E-12   1.478E-12   8.52924E-10   3.558E-11   9.09317E-13   7.309E-13 
  2.65417E+06   7.71771E-10   3.292E-11   4.78509E-12   1.564E-12   7.66599E-10   3.288E-11   3.87578E-13   4.279E-13 
  2.71250E+06   7.66897E-10   3.360E-11   5.57516E-12   1.677E-12   7.60979E-10   3.356E-11   3.42857E-13   4.248E-13 
  2.77083E+06   7.56611E-10   3.341E-11   4.84472E-12   1.615E-12   7.51140E-10   3.337E-11   6.26087E-13   5.978E-13 
  2.82917E+06   6.95255E-10   3.182E-11   5.38137E-12   1.697E-12   6.89680E-10   3.177E-11   1.93789E-13   3.026E-13 
  2.88750E+06   6.83150E-10   3.196E-11   4.14410E-12   1.499E-12   6.78663E-10   3.192E-11   3.42857E-13   4.248E-13 
  2.94583E+06   6.55066E-10   3.124E-11   3.59255E-12   1.376E-12   6.50415E-10   3.120E-11   1.05839E-12   7.894E-13 
  3.00417E+06   6.31766E-10   3.066E-11   4.50186E-12   1.558E-12   6.26952E-10   3.061E-11   3.13043E-13   4.227E-13 
  3.06250E+06   5.84139E-10   2.913E-11   4.20373E-12   1.527E-12   5.79473E-10   2.909E-11   4.62112E-13   5.172E-13 
  3.12083E+06   6.03235E-10   3.010E-11   2.71304E-12   1.201E-12   6.00075E-10   3.007E-11   4.47205E-13   5.164E-13 
  3.17917E+06   5.49496E-10   2.884E-11   2.51925E-12   1.155E-12   5.46812E-10   2.882E-11   1.63975E-13   2.996E-13 
  3.23750E+06   5.34499E-10   2.817E-11   2.57888E-12   1.197E-12   5.31906E-10   2.815E-11   1.49068E-14   2.981E-14 
  3.29583E+06   5.23289E-10   2.800E-11   2.71304E-12   1.234E-12   5.20129E-10   2.796E-11   4.47205E-13   5.164E-13 
  3.35417E+06   5.06758E-10   2.745E-11   3.77143E-12   1.465E-12   5.02688E-10   2.741E-11   2.98137E-13   4.216E-13 
  3.41250E+06   4.69178E-10   2.620E-11   2.56398E-12   1.197E-12   4.66465E-10   2.616E-11   1.49068E-13   2.981E-13 
  3.47083E+06   4.80656E-10   2.702E-11   2.13168E-12   1.080E-12   4.78375E-10   2.700E-11   1.49068E-13   2.981E-13 
  3.52917E+06   4.57416E-10   2.615E-11   1.93789E-12   1.037E-12   4.55448E-10   2.613E-11   2.98137E-14   4.216E-14 
  3.58750E+06   4.37337E-10   2.559E-11   1.84845E-12   1.034E-12   4.35041E-10   2.556E-11   4.47205E-13   5.164E-13 
  3.64583E+06   4.34072E-10   2.602E-11   1.29689E-12   8.469E-13   4.32760E-10   2.600E-11   1.49068E-14   2.981E-14 
  3.70417E+06   4.04363E-10   2.468E-11   1.28199E-12   8.464E-13   4.02783E-10   2.466E-11   2.98137E-13   4.216E-13 
  3.76250E+06   4.13888E-10   2.460E-11   1.69938E-12   9.906E-13   4.12189E-10   2.458E-11   0.00000E+00   0.000E+00 
  3.82083E+06   3.85684E-10   2.411E-11   1.53540E-12   9.442E-13   3.84000E-10   2.409E-11   1.49068E-13   2.981E-13 
  3.87917E+06   3.85267E-10   2.418E-11   1.86335E-12   1.035E-12   3.83255E-10   2.415E-11   1.49068E-13   2.981E-13 
  3.93750E+06   3.73729E-10   2.380E-11   7.60248E-13   6.673E-13   3.72969E-10   2.379E-11   0.00000E+00   0.000E+00 
  3.99583E+06   3.37535E-10   2.277E-11   1.68447E-12   9.902E-13   3.35851E-10   2.275E-11   0.00000E+00   0.000E+00 
  4.05417E+06   3.53471E-10   2.363E-11   1.37143E-12   8.954E-13   3.52099E-10   2.361E-11   0.00000E+00   0.000E+00 
  4.11250E+06   3.47896E-10   2.344E-11   6.85714E-13   6.007E-13   3.47061E-10   2.343E-11   1.49068E-13   2.981E-13 
  4.17083E+06   3.01282E-10   2.134E-11   1.35652E-12   8.949E-13   2.99925E-10   2.132E-11   0.00000E+00   0.000E+00 
  4.22917E+06   2.86256E-10   2.065E-11   1.07329E-12   7.899E-13   2.85183E-10   2.063E-11   0.00000E+00   0.000E+00 
  4.28750E+06   2.92338E-10   2.091E-11   7.60248E-13   6.673E-13   2.91578E-10   2.090E-11   0.00000E+00   0.000E+00 
  4.34583E+06   2.88000E-10   2.114E-11   8.94410E-13   7.303E-13   2.87106E-10   2.112E-11   0.00000E+00   0.000E+00 
  4.40417E+06   2.69366E-10   2.016E-11   5.96273E-13   5.963E-13   2.68770E-10   2.015E-11   0.00000E+00   0.000E+00 
  4.46250E+06   2.74480E-10   2.067E-11   3.42857E-13   4.248E-13   2.74137E-10   2.067E-11   0.00000E+00   0.000E+00 
  4.52083E+06   2.37615E-10   1.904E-11   2.98137E-13   4.216E-13   2.37317E-10   1.903E-11   0.00000E+00   0.000E+00 
  4.57917E+06   2.62673E-10   2.017E-11   7.60248E-13   6.673E-13   2.61913E-10   2.016E-11   0.00000E+00   0.000E+00 
  4.63750E+06   2.37615E-10   1.939E-11   2.98137E-13   4.216E-13   2.37317E-10   1.939E-11   0.00000E+00   0.000E+00 
  4.69583E+06   2.37332E-10   1.910E-11   1.49068E-14   2.981E-14   2.37317E-10   1.910E-11   0.00000E+00   0.000E+00 
  4.75417E+06   2.43429E-10   1.953E-11   4.47205E-13   5.164E-13   2.42981E-10   1.952E-11   0.00000E+00   0.000E+00 
  4.81250E+06   2.13317E-10   1.794E-11   1.49068E-13   2.981E-13   2.13168E-10   1.794E-11   0.00000E+00   0.000E+00 
  4.87083E+06   2.08845E-10   1.799E-11   1.49068E-13   2.981E-13   2.08696E-10   1.799E-11   0.00000E+00   0.000E+00 
  4.92917E+06   1.91106E-10   1.746E-11   1.49068E-13   2.981E-13   1.90957E-10   1.746E-11   0.00000E+00   0.000E+00 
  4.98750E+06   1.86037E-10   1.692E-11   1.49068E-13   2.981E-13   1.85888E-10   1.691E-11   0.00000E+00   0.000E+00 
  5.04583E+06   1.83652E-10   1.695E-11   1.49068E-13   2.981E-13   1.83503E-10   1.694E-11   0.00000E+00   0.000E+00 
  5.10417E+06   1.67702E-10   1.622E-11   1.49068E-13   2.981E-13   1.67553E-10   1.621E-11   0.00000E+00   0.000E+00 
  5.16250E+06   1.63677E-10   1.603E-11   1.49068E-13   2.981E-13   1.63528E-10   1.602E-11   0.00000E+00   0.000E+00 
  5.22083E+06   1.44745E-10   1.476E-11   0.00000E+00   0.000E+00   1.44745E-10   1.476E-11   0.00000E+00   0.000E+00 
  5.27917E+06   1.42807E-10   1.512E-11   0.00000E+00   0.000E+00   1.42807E-10   1.512E-11   0.00000E+00   0.000E+00 
  5.33750E+06   1.29839E-10   1.434E-11   0.00000E+00   0.000E+00   1.29839E-10   1.434E-11   0.00000E+00   0.000E+00 
  5.39583E+06   1.43404E-10   1.504E-11   1.49068E-13   2.981E-13   1.43255E-10   1.504E-11   0.00000E+00   0.000E+00 
  5.45417E+06   1.15826E-10   1.346E-11   0.00000E+00   0.000E+00   1.15826E-10   1.346E-11   0.00000E+00   0.000E+00 
  5.51250E+06   9.92795E-11   1.228E-11   0.00000E+00   0.000E+00   9.92795E-11   1.228E-11   0.00000E+00   0.000E+00 
  5.57083E+06   1.05689E-10   1.283E-11   0.00000E+00   0.000E+00   1.05689E-10   1.283E-11   0.00000E+00   0.000E+00 
  5.62917E+06   9.76398E-11   1.279E-11   0.00000E+00   0.000E+00   9.76398E-11   1.279E-11   0.00000E+00   0.000E+00 
  5.68750E+06   9.15280E-11   1.212E-11   0.00000E+00   0.000E+00   9.15280E-11   1.212E-11   0.00000E+00   0.000E+00 
  5.74583E+06   6.81242E-11   1.038E-11   0.00000E+00   0.000E+00   6.81242E-11   1.038E-11   0.00000E+00   0.000E+00 
  5.80417E+06   6.23106E-11   9.950E-12   0.00000E+00   0.000E+00   6.23106E-11   9.950E-12   0.00000E+00   0.000E+00 
  5.86250E+06   5.47081E-11   9.423E-12   0.00000E+00   0.000E+00   5.47081E-11   9.423E-12   0.00000E+00   0.000E+00 
  5.92083E+06   4.17391E-11   8.733E-12   0.00000E+00   0.000E+00   4.17391E-11   8.733E-12   0.00000E+00   0.000E+00 
  5.97917E+06   1.62484E-11   5.538E-12   0.00000E+00   0.000E+00   1.62484E-11   5.538E-12   0.00000E+00   0.000E+00 
  6.03750E+06   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  6.09583E+06   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  6.15417E+06   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  6.21250E+06   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  6.27083E+06   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  6.32917E+06   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  6.38750E+06   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  6.44583E+06   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  6.50417E+06   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  6.56250E+06   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  6.62083E+06   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  6.67917E+06   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  6.73750E+06   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  6.79583E+06   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  6.85417E+06   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  6.91250E+06   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  6.97083E+06   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
