#------------------------------------------------------------
# PenRed: Energy spectrum report
# detector number:  2
# Units are 1/(eV*history)
#
# Linear scale
# Energy     min    ,    max    , number of bins
#        0.00000e+00 7.00000e+06    120
#
#             |      Total spectrum     |            electron     |               gamma     |            positron     |
#             |                         |                         |                         |                         |
# Energy (eV) |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |
  2.91667E+04   8.49962E-10   8.825E-12   0.00000E+00   0.000E+00   8.49962E-10   8.825E-12   0.00000E+00   0.000E+00 
  8.75000E+04   2.43585E-09   1.547E-11   6.58882E-12   6.267E-13   2.42925E-09   1.545E-11   1.49068E-14   2.981E-14 
  1.45833E+05   2.06397E-09   1.276E-11   2.54758E-11   1.275E-12   2.03836E-09   1.265E-11   1.34161E-13   8.944E-14 
  2.04167E+05   2.00309E-09   1.248E-11   2.54311E-11   1.243E-12   1.97747E-09   1.238E-11   1.93789E-13   1.075E-13 
  2.62500E+05   1.53785E-09   1.066E-11   2.53118E-11   1.270E-12   1.51225E-09   1.054E-11   2.83230E-13   1.300E-13 
  3.20833E+05   9.94286E-10   8.883E-12   2.56994E-11   1.278E-12   9.68273E-10   8.765E-12   3.13043E-13   1.366E-13 
  3.79167E+05   9.13133E-10   9.467E-12   2.41938E-11   1.239E-12   8.88745E-10   9.367E-12   1.93789E-13   1.075E-13 
  4.37500E+05   9.97908E-10   1.101E-11   2.31950E-11   1.182E-12   9.74430E-10   1.093E-11   2.83230E-13   1.300E-13 
  4.95833E+05   1.54474E-09   1.346E-11   2.18832E-11   1.147E-12   1.52261E-09   1.340E-11   2.38509E-13   1.193E-13 
  5.54167E+05   1.06951E-09   1.281E-11   2.20621E-11   1.149E-12   1.04728E-09   1.275E-11   1.63975E-13   9.888E-14 
  6.12500E+05   1.13979E-09   1.378E-11   2.00795E-11   1.101E-12   1.11953E-09   1.373E-11   1.78882E-13   1.033E-13 
  6.70833E+05   1.18175E-09   1.427E-11   2.01540E-11   1.098E-12   1.16135E-09   1.422E-11   2.53416E-13   1.229E-13 
  7.29167E+05   1.19823E-09   1.455E-11   1.79180E-11   1.073E-12   1.18004E-09   1.450E-11   2.68323E-13   1.265E-13 
  7.87500E+05   1.23311E-09   1.510E-11   1.75901E-11   1.026E-12   1.21534E-09   1.506E-11   1.78882E-13   1.033E-13 
  8.45833E+05   1.24213E-09   1.530E-11   1.77839E-11   1.031E-12   1.22421E-09   1.526E-11   1.34161E-13   8.944E-14 
  9.04167E+05   1.25445E-09   1.567E-11   1.56522E-11   9.668E-13   1.23871E-09   1.564E-11   8.94410E-14   7.303E-14 
  9.62500E+05   1.23831E-09   1.541E-11   1.49516E-11   9.468E-13   1.22324E-09   1.538E-11   1.19255E-13   8.433E-14 
  1.02083E+06   1.22661E-09   1.548E-11   1.38783E-11   9.095E-13   1.21257E-09   1.545E-11   1.63975E-13   9.888E-14 
  1.07917E+06   1.21194E-09   1.562E-11   1.35205E-11   9.007E-13   1.19826E-09   1.559E-11   1.63975E-13   9.888E-14 
  1.13750E+06   1.18061E-09   1.549E-11   1.31180E-11   9.312E-13   1.16720E-09   1.546E-11   2.83230E-13   1.300E-13 
  1.19583E+06   1.15185E-09   1.523E-11   1.18957E-11   8.442E-13   1.13979E-09   1.520E-11   1.63975E-13   9.888E-14 
  1.25417E+06   1.13371E-09   1.565E-11   1.13590E-11   8.250E-13   1.12214E-09   1.562E-11   2.08696E-13   1.116E-13 
  1.31250E+06   1.10767E-09   1.556E-11   1.13590E-11   8.250E-13   1.09614E-09   1.553E-11   1.63975E-13   9.888E-14 
  1.37083E+06   1.07483E-09   1.581E-11   9.37640E-12   7.500E-13   1.06524E-09   1.579E-11   2.08696E-13   1.116E-13 
  1.42917E+06   1.02440E-09   1.518E-11   1.00174E-11   7.727E-13   1.01426E-09   1.516E-11   1.19255E-13   8.433E-14 
