#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT ANGULAR DETECTOR ENERGY SPECTRUM]
# Angular intervals : theta1 =  9.000000E+01,    theta2 =  1.800000E+02
#                        phi1 =  0.000000E+00,    phi2 =  3.600000E+02
# Energy window (eV), energy bins:
#  0.00000E+00  4.05000E+04   200
# Energy spectra of emerging particles (1/(eV*sr*particle)).
#
#             |            electron     |               gamma     |            positron     |
#             |                         |                         |                         |
# Energy (eV) |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |
  1.06312E+04   4.20688E-07   3.637E-09   9.47856E-09   5.459E-10   0.00000E+00   0.000E+00 
  1.08338E+04   4.29192E-07   3.674E-09   9.15632E-09   5.365E-10   0.00000E+00   0.000E+00 
  1.10362E+04   4.38859E-07   3.715E-09   8.88910E-09   5.286E-10   0.00000E+00   0.000E+00 
  1.12388E+04   4.50530E-07   3.764E-09   9.07773E-09   5.342E-10   0.00000E+00   0.000E+00 
  1.14412E+04   4.60614E-07   3.806E-09   8.64545E-09   5.213E-10   0.00000E+00   0.000E+00 
  1.16438E+04   4.71704E-07   3.851E-09   8.54328E-09   5.182E-10   0.00000E+00   0.000E+00 
  1.18462E+04   4.83784E-07   3.900E-09   8.37823E-09   5.132E-10   0.00000E+00   0.000E+00 
  1.20488E+04   4.93019E-07   3.937E-09   8.37037E-09   5.130E-10   0.00000E+00   0.000E+00 
  1.22512E+04   5.05335E-07   3.986E-09   7.92238E-09   4.991E-10   0.00000E+00   0.000E+00 
  1.24538E+04   5.17454E-07   4.034E-09   8.20532E-09   5.079E-10   0.00000E+00   0.000E+00 
  1.26562E+04   5.29927E-07   4.082E-09   8.16602E-09   5.067E-10   0.00000E+00   0.000E+00 
  1.28588E+04   5.45536E-07   4.141E-09   7.92238E-09   4.991E-10   0.00000E+00   0.000E+00 
  1.30612E+04   5.53325E-07   4.171E-09   7.46653E-09   4.845E-10   0.00000E+00   0.000E+00 
  1.32638E+04   5.69720E-07   4.232E-09   7.23860E-09   4.770E-10   0.00000E+00   0.000E+00 
  1.34662E+04   5.81556E-07   4.275E-09   7.79663E-09   4.951E-10   0.00000E+00   0.000E+00 
  1.36688E+04   5.96411E-07   4.329E-09   7.55298E-09   4.873E-10   0.00000E+00   0.000E+00 
  1.38712E+04   6.09174E-07   4.375E-09   7.50583E-09   4.858E-10   0.00000E+00   0.000E+00 
  1.40738E+04   6.22088E-07   4.422E-09   6.64128E-09   4.569E-10   0.00000E+00   0.000E+00 
  1.42762E+04   6.35716E-07   4.469E-09   7.20716E-09   4.760E-10   0.00000E+00   0.000E+00 
  1.44788E+04   6.46334E-07   4.507E-09   6.98710E-09   4.687E-10   0.00000E+00   0.000E+00 
  1.46812E+04   6.62045E-07   4.561E-09   6.84563E-09   4.639E-10   0.00000E+00   0.000E+00 
  1.48838E+04   6.74283E-07   4.603E-09   6.75131E-09   4.607E-10   0.00000E+00   0.000E+00 
  1.50862E+04   6.94419E-07   4.671E-09   6.64128E-09   4.569E-10   0.00000E+00   0.000E+00 
  1.52888E+04   7.10090E-07   4.724E-09   6.47623E-09   4.512E-10   0.00000E+00   0.000E+00 
  1.54912E+04   7.19703E-07   4.756E-09   6.31904E-09   4.457E-10   0.00000E+00   0.000E+00 
  1.56938E+04   7.38055E-07   4.816E-09   6.46051E-09   4.507E-10   0.00000E+00   0.000E+00 
  1.58962E+04   7.55165E-07   4.871E-09   6.00466E-09   4.345E-10   0.00000E+00   0.000E+00 
  1.60988E+04   7.69367E-07   4.917E-09   5.98894E-09   4.339E-10   0.00000E+00   0.000E+00 
  1.63012E+04   7.85400E-07   4.968E-09   5.80817E-09   4.273E-10   0.00000E+00   0.000E+00 
  1.65038E+04   8.03799E-07   5.025E-09   5.94964E-09   4.325E-10   0.00000E+00   0.000E+00 
  1.67062E+04   8.18041E-07   5.069E-09   6.02824E-09   4.353E-10   0.00000E+00   0.000E+00 
  1.69088E+04   8.33893E-07   5.118E-09   5.47021E-09   4.147E-10   0.00000E+00   0.000E+00 
  1.71112E+04   8.51585E-07   5.172E-09   5.80817E-09   4.273E-10   0.00000E+00   0.000E+00 
  1.73138E+04   8.63594E-07   5.208E-09   5.17941E-09   4.035E-10   0.00000E+00   0.000E+00 
  1.75162E+04   8.83707E-07   5.269E-09   5.27373E-09   4.072E-10   0.00000E+00   0.000E+00 
  1.77188E+04   8.97123E-07   5.308E-09   5.28159E-09   4.075E-10   0.00000E+00   0.000E+00 
  1.79212E+04   9.19248E-07   5.373E-09   5.28945E-09   4.078E-10   0.00000E+00   0.000E+00 
  1.81238E+04   9.35328E-07   5.420E-09   4.89647E-09   3.923E-10   0.00000E+00   0.000E+00 
  1.83262E+04   9.51629E-07   5.467E-09   4.92005E-09   3.933E-10   0.00000E+00   0.000E+00 
  1.85288E+04   9.75011E-07   5.533E-09   4.56637E-09   3.789E-10   0.00000E+00   0.000E+00 
  1.87312E+04   9.85039E-07   5.562E-09   4.71570E-09   3.850E-10   0.00000E+00   0.000E+00 
  1.89338E+04   1.01152E-06   5.636E-09   4.38560E-09   3.713E-10   0.00000E+00   0.000E+00 
  1.91362E+04   1.03283E-06   5.695E-09   4.34631E-09   3.696E-10   0.00000E+00   0.000E+00 
  1.93388E+04   1.04261E-06   5.721E-09   4.84931E-09   3.905E-10   0.00000E+00   0.000E+00 
  1.95412E+04   1.06586E-06   5.785E-09   4.33059E-09   3.690E-10   0.00000E+00   0.000E+00 
  1.97438E+04   1.08716E-06   5.842E-09   4.09480E-09   3.588E-10   0.00000E+00   0.000E+00 
  1.99462E+04   1.11133E-06   5.907E-09   4.37774E-09   3.710E-10   0.00000E+00   0.000E+00 
  2.01488E+04   1.12795E-06   5.951E-09   4.25199E-09   3.656E-10   0.00000E+00   0.000E+00 
  2.03512E+04   1.14369E-06   5.992E-09   3.90617E-09   3.504E-10   0.00000E+00   0.000E+00 
  2.05538E+04   1.16718E-06   6.053E-09   3.94547E-09   3.522E-10   0.00000E+00   0.000E+00 
  2.07562E+04   1.18723E-06   6.105E-09   4.16554E-09   3.619E-10   0.00000E+00   0.000E+00 
  2.09588E+04   1.20874E-06   6.160E-09   4.10266E-09   3.591E-10   0.00000E+00   0.000E+00 
  2.11612E+04   1.23177E-06   6.218E-09   3.67825E-09   3.401E-10   0.00000E+00   0.000E+00 
  2.13638E+04   1.25156E-06   6.268E-09   3.56821E-09   3.349E-10   0.00000E+00   0.000E+00 
  2.15662E+04   1.27225E-06   6.319E-09   3.78042E-09   3.447E-10   0.00000E+00   0.000E+00 
  2.17688E+04   1.28867E-06   6.360E-09   3.52892E-09   3.331E-10   0.00000E+00   0.000E+00 
  2.19712E+04   1.32756E-06   6.455E-09   3.75684E-09   3.437E-10   0.00000E+00   0.000E+00 
  2.21738E+04   1.33672E-06   6.477E-09   3.12022E-09   3.132E-10   0.00000E+00   0.000E+00 
  2.23762E+04   1.36529E-06   6.546E-09   3.62323E-09   3.375E-10   0.00000E+00   0.000E+00 
  2.25788E+04   1.38775E-06   6.599E-09   3.32457E-09   3.233E-10   0.00000E+00   0.000E+00 
  2.27812E+04   1.41060E-06   6.653E-09   3.30885E-09   3.225E-10   0.00000E+00   0.000E+00 
  2.29838E+04   1.43349E-06   6.707E-09   3.21454E-09   3.179E-10   0.00000E+00   0.000E+00 
  2.31862E+04   1.45895E-06   6.766E-09   3.27741E-09   3.210E-10   0.00000E+00   0.000E+00 
  2.33888E+04   1.47650E-06   6.807E-09   2.83728E-09   2.987E-10   0.00000E+00   0.000E+00 
  2.35912E+04   1.50506E-06   6.872E-09   3.10450E-09   3.124E-10   0.00000E+00   0.000E+00 
  2.37938E+04   1.52774E-06   6.924E-09   3.01019E-09   3.076E-10   0.00000E+00   0.000E+00 
  2.39962E+04   1.55235E-06   6.979E-09   2.99447E-09   3.068E-10   0.00000E+00   0.000E+00 
  2.41988E+04   1.57530E-06   7.030E-09   2.84514E-09   2.991E-10   0.00000E+00   0.000E+00 
  2.44012E+04   1.59707E-06   7.079E-09   2.75083E-09   2.941E-10   0.00000E+00   0.000E+00 
  2.46038E+04   1.63078E-06   7.153E-09   2.55434E-09   2.834E-10   0.00000E+00   0.000E+00 
  2.48062E+04   1.65666E-06   7.209E-09   2.53862E-09   2.825E-10   0.00000E+00   0.000E+00 
  2.50088E+04   1.68053E-06   7.261E-09   2.52290E-09   2.816E-10   0.00000E+00   0.000E+00 
  2.52112E+04   1.70509E-06   7.314E-09   2.45217E-09   2.777E-10   0.00000E+00   0.000E+00 
  2.54138E+04   1.72581E-06   7.358E-09   2.42859E-09   2.763E-10   0.00000E+00   0.000E+00 
  2.56162E+04   1.74908E-06   7.407E-09   2.49932E-09   2.803E-10   0.00000E+00   0.000E+00 
  2.58188E+04   1.77985E-06   7.472E-09   2.48360E-09   2.794E-10   0.00000E+00   0.000E+00 
  2.60212E+04   1.80963E-06   7.534E-09   2.11421E-09   2.578E-10   0.00000E+00   0.000E+00 
  2.62238E+04   1.82748E-06   7.571E-09   2.16922E-09   2.611E-10   0.00000E+00   0.000E+00 
  2.64262E+04   1.86144E-06   7.641E-09   2.42073E-09   2.759E-10   0.00000E+00   0.000E+00 
  2.66288E+04   1.88551E-06   7.690E-09   2.34213E-09   2.714E-10   0.00000E+00   0.000E+00 
  2.68312E+04   1.91311E-06   7.746E-09   2.10635E-09   2.573E-10   0.00000E+00   0.000E+00 
  2.70338E+04   1.94271E-06   7.805E-09   2.08277E-09   2.559E-10   0.00000E+00   0.000E+00 
  2.72362E+04   1.96591E-06   7.852E-09   1.94130E-09   2.470E-10   0.00000E+00   0.000E+00 
  2.74388E+04   1.99032E-06   7.900E-09   1.99631E-09   2.505E-10   0.00000E+00   0.000E+00 
  2.76412E+04   2.01508E-06   7.949E-09   2.01203E-09   2.515E-10   0.00000E+00   0.000E+00 
  2.78438E+04   2.04537E-06   8.008E-09   1.91772E-09   2.455E-10   0.00000E+00   0.000E+00 
  2.80462E+04   2.07101E-06   8.058E-09   1.73695E-09   2.337E-10   0.00000E+00   0.000E+00 
  2.82488E+04   2.09306E-06   8.101E-09   1.90200E-09   2.445E-10   0.00000E+00   0.000E+00 
  2.84512E+04   2.13285E-06   8.177E-09   1.90200E-09   2.445E-10   0.00000E+00   0.000E+00 
  2.86538E+04   2.14750E-06   8.205E-09   1.74481E-09   2.342E-10   0.00000E+00   0.000E+00 
  2.88562E+04   2.17309E-06   8.254E-09   1.78411E-09   2.368E-10   0.00000E+00   0.000E+00 
  2.90588E+04   2.20114E-06   8.307E-09   1.65836E-09   2.283E-10   0.00000E+00   0.000E+00 
  2.92612E+04   2.22985E-06   8.361E-09   1.43043E-09   2.121E-10   0.00000E+00   0.000E+00 
  2.94638E+04   2.25161E-06   8.401E-09   1.50902E-09   2.178E-10   0.00000E+00   0.000E+00 
  2.96662E+04   2.28139E-06   8.457E-09   1.45401E-09   2.138E-10   0.00000E+00   0.000E+00 
  2.98688E+04   2.30185E-06   8.494E-09   1.39899E-09   2.097E-10   0.00000E+00   0.000E+00 
  3.00712E+04   2.32086E-06   8.529E-09   1.20250E-09   1.944E-10   0.00000E+00   0.000E+00 
  3.02738E+04   2.34825E-06   8.579E-09   1.43043E-09   2.121E-10   0.00000E+00   0.000E+00 
